run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes
AU000001,main,qwen3_4b,TOFU,tofu_forget01,independent,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000002,main,qwen3_4b,TOFU,tofu_forget01,independent,global_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000003,main,qwen3_4b,TOFU,tofu_forget01,independent,target_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000004,main,qwen3_4b,TOFU,tofu_forget01,independent,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000005,main,qwen3_4b,TOFU,tofu_forget01,independent,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000006,main,qwen3_4b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000007,main,qwen3_4b,TOFU,tofu_forget01,independent,target_context_comm,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000008,main,qwen3_4b,TOFU,tofu_forget01,independent,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000009,main,qwen3_4b,TOFU,tofu_forget01,independent,full_inference,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000010,main,qwen3_4b,TOFU,tofu_forget01,sequential,none,none,1.0,0.8,1.0,1.0,0.8,1.0,15
AU000011,main,qwen3_4b,TOFU,tofu_forget01,sequential,global_context,none,0.6,0.0,1.0,0.6,0.0,1.0,15
AU000012,main,qwen3_4b,TOFU,tofu_forget01,sequential,target_context,none,1.0,1.0,1.0,1.0,0.6,1.0,15
AU000013,main,qwen3_4b,TOFU,tofu_forget01,sequential,target_memory,none,1.0,0.4,1.0,1.0,0.4,1.0,15
AU000014,main,qwen3_4b,TOFU,tofu_forget01,sequential,communication,none,1.0,1.0,1.0,1.0,0.8,1.0,15
AU000015,main,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,none,1.0,1.0,1.0,1.0,0.6,1.0,15
AU000016,main,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_comm,none,0.6,0.0,1.0,1.0,0.6,1.0,15
