training_id,model_id,benchmark,unit_id,target_id,parameter_method,status
TR0001,qwen3_4b,TOFU,tofu_forget01,forget01,gradient_ascent,pending
TR0002,qwen3_4b,TOFU,tofu_forget01,forget01,lora_grad_diff,pending
TR0003,qwen3_4b,TOFU,tofu_forget05,forget05,gradient_ascent,pending
TR0004,qwen3_4b,TOFU,tofu_forget05,forget05,lora_grad_diff,pending
TR0005,qwen3_4b,TOFU,tofu_forget10,forget10,gradient_ascent,pending
TR0006,qwen3_4b,TOFU,tofu_forget10,forget10,lora_grad_diff,pending
TR0007,qwen3_4b,MUSE-News,muse_news,news,gradient_ascent,pending
TR0008,qwen3_4b,MUSE-News,muse_news,news,lora_grad_diff,pending
TR0009,qwen3_4b,RWKU,rwku_001,1,gradient_ascent,pending
TR0010,qwen3_4b,RWKU,rwku_001,1,lora_grad_diff,pending
TR0011,qwen3_8b,TOFU,tofu_forget01,forget01,gradient_ascent,pending
TR0012,qwen3_8b,TOFU,tofu_forget01,forget01,lora_grad_diff,pending
TR0013,qwen3_8b,TOFU,tofu_forget05,forget05,gradient_ascent,pending
TR0014,qwen3_8b,TOFU,tofu_forget05,forget05,lora_grad_diff,pending
TR0015,qwen3_8b,TOFU,tofu_forget10,forget10,gradient_ascent,pending
TR0016,qwen3_8b,TOFU,tofu_forget10,forget10,lora_grad_diff,pending
TR0017,qwen3_8b,MUSE-News,muse_news,news,gradient_ascent,pending
TR0018,qwen3_8b,MUSE-News,muse_news,news,lora_grad_diff,pending
TR0019,qwen3_8b,RWKU,rwku_001,1,gradient_ascent,pending
TR0020,qwen3_8b,RWKU,rwku_001,1,lora_grad_diff,pending
