block,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
ablation_chain_length,drr_target,30,0.14666666666666667,0.34414645372166114,0.06283225859625384,0.0,0.0,0.0,0.0,1.0,0.023515439818009146,0.2698178935153242
ablation_chain_length,irr_target,24,0.5,0.5107539184552492,0.1042572070285374,0.5,0.0,1.0,0.0,1.0,0.2956558742240667,0.7043441257759333
ablation_chain_length,retention_target,30,0.5733333333333334,0.48631856547579666,0.08878921614821564,1.0,0.0,1.0,0.0,1.0,0.3993064696828307,0.747360196983836
ablation_chain_length,drr_system,30,0.26,0.4303967696327945,0.07857933980174533,0.0,0.0,0.5,0.0,1.0,0.10598449398857915,0.4140155060114209
ablation_chain_length,irr_system,24,0.5416666666666666,0.5089773777040516,0.10389457216622949,1.0,0.0,1.0,0.0,1.0,0.33803330522085684,0.7453000281124764
ablation_chain_length,retention_system,30,0.5733333333333334,0.48631856547579666,0.08878921614821564,1.0,0.0,1.0,0.0,1.0,0.3993064696828307,0.747360196983836
ablation_chain_length,n_scored_probes,30,14.0,2.034190510862431,0.3713906763541037,15.0,15.0,15.0,10.0,15.0,13.272074274345957,14.727925725654043
ablation_comm_threshold,drr_target,60,0.25333333333333335,0.37165076857893176,0.04797990791037965,0.0,0.0,0.45,0.0,1.0,0.15929271382898924,0.34737395283767747
ablation_comm_threshold,irr_target,48,0.4958333333333333,0.4186901222141696,0.06043271369184704,0.6,0.0,1.0,0.0,1.0,0.3773852144973131,0.6142814521693535
ablation_comm_threshold,retention_target,60,0.5333333333333333,0.463833205945686,0.05988060940152123,0.8,0.0,1.0,0.0,1.0,0.41596733890635174,0.6506993277603149
ablation_comm_threshold,drr_system,60,0.5733333333333336,0.45913207237896775,0.059273695667781345,0.8,0.0,1.0,0.0,1.0,0.45715688982448216,0.6895097768421851
ablation_comm_threshold,irr_system,48,0.7083333333333334,0.42468177489630754,0.06129753426407781,1.0,0.44999999999999996,1.0,0.0,1.0,0.5881901661757408,0.8284765004909259
ablation_comm_threshold,retention_system,60,0.6,0.4940321817555709,0.06377928041432805,1.0,0.0,1.0,0.0,1.0,0.47499261038791696,0.725007389612083
ablation_comm_threshold,n_scored_probes,60,14.0,2.016877936358443,0.2603778219616477,15.0,15.0,15.0,10.0,15.0,13.489659468955171,14.510340531044829
ablation_debate_rounds,drr_target,30,0.18000000000000002,0.36141484426510817,0.06598502094040545,0.0,0.0,0.15000000000000002,0.0,1.0,0.05066935895680533,0.30933064104319474
ablation_debate_rounds,irr_target,24,0.38333333333333336,0.4290197792812038,0.08757329573336765,0.2,0.0,0.8,0.0,1.0,0.21168967369593275,0.554976992970734
ablation_debate_rounds,retention_target,30,0.45333333333333337,0.4232333124667873,0.07727147744189729,0.4,0.0,0.95,0.0,1.0,0.3018812375472147,0.6047854291194521
ablation_debate_rounds,drr_system,30,0.5533333333333333,0.47177824519966816,0.08613452901202054,0.8,0.0,1.0,0.0,1.0,0.3845096564697731,0.7221570101968936
ablation_debate_rounds,irr_system,24,0.5833333333333333,0.42083423016119104,0.08590242751599106,0.6000000000000001,0.30000000000000004,1.0,0.0,1.0,0.4149645754019908,0.7517020912646757
