intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
communication,drr_target,225,0.3057777777777778,0.4208966241893231,0.028059774945954873,0.0,0.0,0.8,0.0,1.0,0.2507806188837063,0.36077493667184934
communication,irr_target,195,0.23897435897435895,0.4016961132253907,0.028766056152453045,0.0,0.0,0.30000000000000004,0.0,1.0,0.18259288891555098,0.29535582903316693
communication,retention_target,225,0.32533333333333336,0.42607846359896806,0.02840523090659787,0.0,0.0,0.8,0.0,1.0,0.26965908075640155,0.3810075859102652
communication,drr_system,225,0.31288888888888894,0.42243248732691746,0.028162165821794496,0.0,0.0,0.8,0.0,1.0,0.2576910438781717,0.36808673389960617
communication,irr_system,195,0.23282051282051286,0.393961827118491,0.028212192420330302,0.0,0.0,0.2,0.0,1.0,0.17752461567666547,0.2881164099643603
communication,retention_system,225,0.2942222222222222,0.4153445691364114,0.027689637942427424,0.0,0.0,0.6,0.0,1.0,0.23995053185506446,0.34849391258937995
communication,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
full_inference,drr_target,832,0.03461538461538462,0.13825053089849135,0.004792974788602204,0.0,0.0,0.0,0.0,1.0,0.0252211540297243,0.04400961520104493
full_inference,irr_target,685,0.1824817518248175,0.3483246893536272,0.013308802268785737,0.0,0.0,0.2,0.0,1.0,0.15639649937799743,0.20856700427163755
full_inference,retention_target,820,0.4973170731707317,0.4462215506176539,0.01558273247883239,0.4,0.0,1.0,0.0,1.0,0.4667749175122202,0.5278592288292432
full_inference,drr_system,832,0.28774038461538465,0.4153999304210763,0.014401401432282348,0.0,0.0,0.8,0.0,1.0,0.25951363780811126,0.31596713142265803
full_inference,irr_system,685,0.33255474452554745,0.43401435890811424,0.01658283624752696,0.0,0.0,0.8,0.0,1.0,0.3000523854803946,0.3650571035707003
full_inference,retention_system,820,0.46195121951219514,0.46960466844581694,0.01639930637386933,0.2,0.0,1.0,0.0,1.0,0.4298085790194113,0.494093860004979
full_inference,n_scored_probes,832,14.044471153846153,2.1427274833162886,0.07428570971579604,15.0,15.0,15.0,5.0,15.0,13.898871162803193,14.190071144889114
global_context,drr_target,225,0.06755555555555556,0.18240892487215607,0.01216059499147707,0.0,0.0,0.0,0.0,1.0,0.0437207893722605,0.09139032173885062
global_context,irr_target,195,0.08410256410256411,0.2339785648469202,0.016755553049327954,0.0,0.0,0.0,0.0,1.0,0.05126168012588132,0.1169434480792469
global_context,retention_target,225,0.3706666666666667,0.4123452090525261,0.02748968060350174,0.2,0.0,0.8,0.0,1.0,0.3167868926838033,0.4245464406495301
global_context,drr_system,225,0.059555555555555556,0.166395016714148,0.011093001114276533,0.0,0.0,0.0,0.0,1.0,0.03781327337157355,0.08129783773953755
global_context,irr_system,195,0.08717948717948718,0.243661383235317,0.0174489540763833,0.0,0.0,0.0,0.0,1.0,0.052979537189775903,0.12137943716919844
global_context,retention_system,225,0.33599999999999997,0.40509258201058185,0.02700617213403879,0.2,0.0,0.8,0.0,1.0,0.28306790261728393,0.388932097382716
global_context,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
none,drr_target,447,0.33736017897091725,0.43708698637384186,0.02067350505632802,0.0,0.0,1.0,0.0,1.0,0.29684010906051433,0.37788024888132016
