topology,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
debate,drr_target,847,0.19244391971664698,0.35268581288135975,0.012118427945775825,0.0,0.0,0.2,0.0,1.0,0.16869180094292635,0.21619603849036761
debate,irr_target,707,0.2381895332390382,0.37689818472190295,0.014174715104649238,0.0,0.0,0.4,0.0,1.0,0.21040709163392568,0.2659719748441507
debate,retention_target,835,0.278562874251497,0.3627206604494823,0.012552466060972507,0.0,0.0,0.6,0.0,1.0,0.2539600407719909,0.3031657077310031
debate,drr_system,847,0.2987012987012987,0.4119786933434749,0.01415575542914514,0.0,0.0,0.8,0.0,1.0,0.2709560180601742,0.32644657934242316
debate,irr_system,707,0.2758132956152758,0.39172822456301704,0.01473245615583922,0.0,0.0,0.6,0.0,1.0,0.24693768154983092,0.30468890968072065
debate,retention_system,835,0.3089820359281437,0.40883913966613855,0.014148461845809718,0.0,0.0,0.6,0.0,1.0,0.28125105071035666,0.33671302114593077
debate,n_scored_probes,847,14.10271546635183,2.0963955767499542,0.07203300448956104,15.0,15.0,15.0,5.0,15.0,13.96153077755229,14.243900155151369
hierarchical,drr_target,590,0.1877966101694915,0.36612070799642515,0.01507295101311402,0.0,0.0,0.0,0.0,1.0,0.15825362618378802,0.217339594155195
hierarchical,irr_target,502,0.16812749003984065,0.35079049550664754,0.01565654603482633,0.0,0.0,0.0,0.0,1.0,0.13744065981158105,0.19881432026810025
hierarchical,retention_target,590,0.46372881355932205,0.4555706818894646,0.018755548159810446,0.4,0.0,1.0,0.0,1.0,0.42696793916609355,0.5004896879525506
hierarchical,drr_system,590,0.34372881355932206,0.4398869213589223,0.01810985795705747,0.0,0.0,1.0,0.0,1.0,0.3082334919634894,0.3792241351551547
hierarchical,irr_system,502,0.32669322709163345,0.45232226415757926,0.020188130642284786,0.0,0.0,1.0,0.0,1.0,0.2871244910327553,0.3662619631505116
hierarchical,retention_system,590,0.3467796610169491,0.4541618174854471,0.018697546130200905,0.0,0.0,1.0,0.0,1.0,0.31013247060175536,0.3834268514321429
hierarchical,n_scored_probes,590,14.254237288135593,1.7827052594500112,0.07339281406276836,15.0,15.0,15.0,10.0,15.0,14.110387372572568,14.39808720369862
independent,drr_target,737,0.18018995929443693,0.3456066920728952,0.012730586124528676,0.0,0.0,0.2,0.0,1.0,0.15523801049036073,0.20514190809851313
independent,irr_target,619,0.17964458804523428,0.3533096449195171,0.014200713604287995,0.0,0.0,0.0,0.0,1.0,0.15181118938082983,0.20747798670963874
independent,retention_target,725,0.5252413793103449,0.45600366317259355,0.016935550888561843,0.6,0.0,1.0,0.0,1.0,0.49204769956876365,0.558435059051926
independent,drr_system,737,0.18018995929443693,0.3456066920728952,0.012730586124528676,0.0,0.0,0.2,0.0,1.0,0.15523801049036073,0.20514190809851313
independent,irr_system,619,0.17964458804523428,0.3533096449195171,0.014200713604287995,0.0,0.0,0.0,0.0,1.0,0.15181118938082983,0.20747798670963874
independent,retention_system,725,0.5252413793103449,0.45600366317259355,0.016935550888561843,0.6,0.0,1.0,0.0,1.0,0.49204769956876365,0.558435059051926
independent,n_scored_probes,737,14.118046132971505,2.10999497295902,0.07772266377270193,15.0,15.0,15.0,5.0,15.0,13.96570971197701,14.270382553966002
scratchpad,drr_target,817,0.2585067319461445,0.3900153626514412,0.013644910327695037,0.0,0.0,0.4,0.0,1.0,0.2317627077038622,0.28525075618842677
scratchpad,irr_target,683,0.2998535871156662,0.4234164657385461,0.016201580796041504,0.0,0.0,0.8,0.0,1.0,0.26809848875542486,0.3316086854759075
scratchpad,retention_target,805,0.5060869565217392,0.4493502411208073,0.015837514987774585,0.4,0.0,1.0,0.0,1.0,0.47504542714570097,0.5371284858977774
scratchpad,drr_system,817,0.3598531211750306,0.43707357702508864,0.015291268847894463,0.0,0.0,1.0,0.0,1.0,0.32988223423315743,0.38982400811690376
scratchpad,irr_system,683,0.3578330893118595,0.4509774216704991,0.017256171466172417,0.0,0.0,1.0,0.0,1.0,0.3240109932381615,0.39165518538555744
scratchpad,retention_system,805,0.42857142857142866,0.4668392411134208,0.01645392124320094,0.2,0.0,1.0,0.0,1.0,0.3963217429347548,0.4608211142081025
scratchpad,n_scored_probes,817,14.106487148102815,2.09975944528943,0.07346128405282978,15.0,15.0,15.0,5.0,15.0,13.962503031359269,14.250471264846361
sequential,drr_target,730,0.22794520547945207,0.3858788586643309,0.014282017314824284,0.0,0.0,0.2,0.0,1.0,0.1999524515423965,0.25593795941650765
sequential,irr_target,614,0.32475570032573287,0.44933104774209215,0.018133525310071952,0.0,0.0,1.0,0.0,1.0,0.28921399071799186,0.36029740993347387
sequential,retention_target,730,0.41643835616438357,0.45355286944908313,0.016786744827331508,0.2,0.0,1.0,0.0,1.0,0.3835363363028138,0.44934037602595334
sequential,drr_system,730,0.346027397260274,0.4380926978030881,0.016214538202945463,0.0,0.0,1.0,0.0,1.0,0.31424690238250086,0.3778078921380471
sequential,irr_system,614,0.36254071661237786,0.46047432188201254,0.01858323125554069,0.0,0.0,1.0,0.0,1.0,0.3261175833515181,0.39896384987323763
sequential,retention_system,730,0.3923287671232876,0.4546317659991902,0.016826676580169352,0.0,0.0,1.0,0.0,1.0,0.3593484810261557,0.42530905322041956
sequential,n_scored_probes,730,14.205479452054794,1.829186511864667,0.06770123018638713,15.0,15.0,15.0,10.0,15.0,14.072785040889475,14.338173863220113
