run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,target_id,target_name,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,status,raw_complete
AU000001,main,qwen3_4b,TOFU,tofu_forget01,independent,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000002,main,qwen3_4b,TOFU,tofu_forget01,independent,global_context,none,0.0,0.2,1.0,0.0,0.2,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000003,main,qwen3_4b,TOFU,tofu_forget01,independent,target_context,none,0.0,0.2,1.0,0.0,0.2,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000004,main,qwen3_4b,TOFU,tofu_forget01,independent,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000005,main,qwen3_4b,TOFU,tofu_forget01,independent,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000006,main,qwen3_4b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000007,main,qwen3_4b,TOFU,tofu_forget01,independent,target_context_comm,none,0.0,0.2,1.0,0.0,0.2,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000008,main,qwen3_4b,TOFU,tofu_forget01,independent,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000009,main,qwen3_4b,TOFU,tofu_forget01,independent,full_inference,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000010,main,qwen3_4b,TOFU,tofu_forget01,sequential,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
