block,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
ablation_chain_length,drr_target,30,0.17333333333333334,0.36287485572789446,0.06625158134453352,0.0,0.0,0.0,0.0,1.0,0.04348023389804764,0.303186432768619
ablation_chain_length,irr_target,24,0.5,0.5107539184552492,0.1042572070285374,0.5,0.0,1.0,0.0,1.0,0.2956558742240667,0.7043441257759333
ablation_chain_length,retention_target,30,0.5866666666666667,0.4897102122214963,0.08940844329145187,1.0,0.0,1.0,0.0,1.0,0.41142611781542104,0.7619072155179123
ablation_chain_length,drr_system,30,0.28,0.4413146504362338,0.08057266300047745,0.0,0.0,0.75,0.0,1.0,0.12207758051906423,0.4379224194809358
ablation_chain_length,irr_system,24,0.5416666666666666,0.5089773777040516,0.10389457216622949,1.0,0.0,1.0,0.0,1.0,0.33803330522085684,0.7453000281124764
ablation_chain_length,retention_system,30,0.5866666666666667,0.4897102122214963,0.08940844329145187,1.0,0.0,1.0,0.0,1.0,0.41142611781542104,0.7619072155179123
ablation_chain_length,n_scored_probes,30,14.0,2.034190510862431,0.3713906763541037,15.0,15.0,15.0,10.0,15.0,13.272074274345957,14.727925725654043
ablation_comm_threshold,drr_target,60,0.2733333333333333,0.3861442018634597,0.04985100210172448,0.0,0.0,0.6,0.0,1.0,0.17562536921395333,0.3710412974527133
ablation_comm_threshold,irr_target,48,0.4541666666666666,0.41409133196152964,0.05976893549426996,0.4,0.0,1.0,0.0,1.0,0.3370195530978975,0.5713137802354358
ablation_comm_threshold,retention_target,60,0.56,0.47271304944822923,0.06102699226826383,0.8,0.0,1.0,0.0,1.0,0.44038709515420293,0.6796129048457972
ablation_comm_threshold,drr_system,60,0.586666666666667,0.46266240086605404,0.05972945911568557,0.8,0.0,1.0,0.0,1.0,0.46959692679992326,0.7037364065334107
ablation_comm_threshold,irr_system,48,0.6999999999999998,0.42073896491262214,0.06072843866271673,1.0,0.44999999999999996,1.0,0.0,1.0,0.5809722602210751,0.8190277397789246
ablation_comm_threshold,retention_system,60,0.6,0.4940321817555709,0.06377928041432805,1.0,0.0,1.0,0.0,1.0,0.47499261038791696,0.725007389612083
ablation_comm_threshold,n_scored_probes,60,14.0,2.016877936358443,0.2603778219616477,15.0,15.0,15.0,10.0,15.0,13.489659468955171,14.510340531044829
ablation_debate_rounds,drr_target,30,0.19333333333333333,0.36192334236289103,0.06607785956660683,0.0,0.0,0.2,0.0,1.0,0.06382072858278393,0.32284593808388273
ablation_debate_rounds,irr_target,24,0.4000000000000001,0.43738352486814924,0.08928053815224023,0.2,0.0,0.8500000000000001,0.0,1.0,0.22501014522160923,0.5749898547783909
ablation_debate_rounds,retention_target,30,0.4800000000000001,0.4318364952394479,0.07884219653220596,0.6,0.0,0.95,0.0,1.0,0.3254692947968764,0.6345307052031237
ablation_debate_rounds,drr_system,30,0.58,0.4852301267049162,0.08859049532579084,0.9,0.0,1.0,0.0,1.0,0.40636262916144994,0.75363737083855
ablation_debate_rounds,irr_system,24,0.6083333333333333,0.42315242054665453,0.08637562614690868,0.7,0.30000000000000004,1.0,0.0,1.0,0.43903710608539226,0.7776295605812743
ablation_debate_rounds,retention_system,30,0.6,0.4982728791224399,0.09097176522946843,1.0,0.0,1.0,0.0,1.0,0.4216953401502419,0.778304659849758
ablation_debate_rounds,n_scored_probes,30,14.0,2.034190510862431,0.3713906763541037,15.0,15.0,15.0,10.0,15.0,13.272074274345957,14.727925725654043
ablation_n_agents,drr_target,90,0.15999999999999998,0.3341263973980539,0.035220014738813595,0.0,0.0,0.0,0.0,1.0,0.09096877111192533,0.22903122888807462
