intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
communication,drr_target,225,0.4035555555555556,0.4527552336387748,0.030183682242584987,0.2,0.0,1.0,0.0,1.0,0.344395538360089,0.4627155727510222
communication,irr_target,195,0.26666666666666666,0.4049521629717919,0.028999226717854064,0.0,0.0,0.4,0.0,1.0,0.2098281822996727,0.3235051510336606
communication,retention_target,225,0.3813333333333333,0.43773769053428074,0.029182512702285383,0.0,0.0,1.0,0.0,1.0,0.32413560843685396,0.43853105822981264
communication,drr_system,225,0.40622222222222226,0.45410473583867317,0.030273649055911546,0.2,0.0,1.0,0.0,1.0,0.3468858700726356,0.4655585743718089
communication,irr_system,195,0.27487179487179486,0.4035082734934808,0.028895827644665303,0.0,0.0,0.4,0.0,1.0,0.21823597268825087,0.3315076170553389
communication,retention_system,225,0.35733333333333334,0.4300664400498403,0.028671096003322686,0.0,0.0,1.0,0.0,1.0,0.3011379851668209,0.4135286814998458
communication,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
full_inference,drr_target,832,0.05769230769230768,0.18984688627830024,0.006581756566957619,0.0,0.0,0.0,0.0,1.0,0.044792064821070746,0.07059255056354462
full_inference,irr_target,685,0.19065693430656938,0.34880792059125604,0.013327265585306988,0.0,0.0,0.2,0.0,1.0,0.16453549375936768,0.21677837485377108
full_inference,retention_target,820,0.5324390243902439,0.4503927494488203,0.015728397060500655,0.6,0.0,1.0,0.0,1.0,0.5016113661516627,0.5632666826288252
full_inference,drr_system,832,0.3293269230769231,0.4369300283470885,0.015147823278801558,0.0,0.0,1.0,0.0,1.0,0.299637189450472,0.3590166567033741
full_inference,irr_system,685,0.3486131386861314,0.43748213410764547,0.016715333127173368,0.0,0.0,1.0,0.0,1.0,0.3158510857568716,0.38137519161539124
full_inference,retention_system,820,0.4968292682926829,0.47144564528280286,0.01646359607370738,0.4,0.0,1.0,0.0,1.0,0.46456061998821646,0.5290979165971494
full_inference,n_scored_probes,832,14.044471153846153,2.1427274833162886,0.07428570971579604,15.0,15.0,15.0,5.0,15.0,13.898871162803193,14.190071144889114
global_context,drr_target,225,0.10311111111111111,0.254318260802833,0.016954550720188866,0.0,0.0,0.0,0.0,1.0,0.06988019169954093,0.1363420305226813
global_context,irr_target,195,0.11487179487179489,0.24857191905490475,0.017800604850374324,0.0,0.0,0.0,0.0,1.0,0.07998260936506121,0.14976098037852856
global_context,retention_target,225,0.43111111111111117,0.4353888974968149,0.02902592649978766,0.2,0.0,1.0,0.0,1.0,0.37422029517152733,0.488001927050695
global_context,drr_system,225,0.09955555555555555,0.24865670859672928,0.01657711390644862,0.0,0.0,0.0,0.0,1.0,0.06706441229891626,0.13204669881219483
global_context,irr_system,195,0.11589743589743591,0.2501619882280604,0.017914472068939157,0.0,0.0,0.0,0.0,1.0,0.08078507064231516,0.15100980115255666
global_context,retention_system,225,0.40711111111111115,0.4275585915478125,0.0285039061031875,0.2,0.0,1.0,0.0,1.0,0.3512434551488636,0.46297876707335867
global_context,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
none,drr_target,447,0.41565995525727073,0.4585275231558928,0.021687607647785646,0.2,0.0,1.0,0.0,1.0,0.37315224426761084,0.4581676662469306
none,irr_target,377,0.29336870026525197,0.420718173189326,0.021668088311285933,0.0,0.0,0.8,0.0,1.0,0.25089924717513157,0.33583815335537237
none,retention_target,435,0.4220689655172414,0.45179656205160107,0.02166198712410069,0.2,0.0,1.0,0.0,1.0,0.37961147075400403,0.4645264602804787
none,drr_system,447,0.3995525727069351,0.45644343191116915,0.02158903351442357,0.0,0.0,1.0,0.0,1.0,0.3572380670186649,0.44186707839520534
none,irr_system,377,0.2880636604774536,0.4147425709905898,0.0213603291404049,0.0,0.0,0.6,0.0,1.0,0.24619741536225997,0.3299299055926472
none,retention_system,435,0.3829885057471265,0.44430371909140404,0.02130273280177993,0.0,0.0,1.0,0.0,1.0,0.3412351494556378,0.4247418620386152
none,n_scored_probes,447,14.082774049217003,2.2579889859100213,0.10679921428138285,15.0,15.0,15.0,5.0,15.0,13.873447589225492,14.292100509208513
parameter_only,drr_target,100,0.632,0.4642535009359791,0.04642535009359791,1.0,0.0,1.0,0.0,1.0,0.5410063138165481,0.722993686183452
parameter_only,irr_target,80,0.7150000000000001,0.43373561333891064,0.048493115784418436,1.0,0.30000000000000004,1.0,0.0,1.0,0.6199534930625399,0.8100465069374603
parameter_only,retention_target,100,0.608,0.4502928340131968,0.04502928340131968,1.0,0.0,1.0,0.0,1.0,0.5197426045334134,0.6962573954665866
parameter_only,drr_system,100,0.6439999999999999,0.4553431384542583,0.045534313845425826,1.0,0.0,1.0,0.0,1.0,0.5547527448629653,0.7332472551370345
parameter_only,irr_system,80,0.7025,0.4328226461704317,0.04839104295192121,1.0,0.30000000000000004,1.0,0.0,1.0,0.6076535558142344,0.7973464441857656
parameter_only,retention_system,100,0.6240000000000001,0.44247239256457355,0.044247239256457356,1.0,0.15000000000000002,1.0,0.0,1.0,0.5372754110573437,0.7107245889426566
parameter_only,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
parameter_plus_comm,drr_target,100,0.606,0.4614032176880968,0.04614032176880968,1.0,0.0,1.0,0.0,1.0,0.515564969333133,0.696435030666867
parameter_plus_comm,irr_target,80,0.7275,0.4319443822612914,0.048292850061770094,1.0,0.30000000000000004,1.0,0.0,1.0,0.6328460138789307,0.8221539861210694
parameter_plus_comm,retention_target,100,0.608,0.4502928340131968,0.04502928340131968,1.0,0.0,1.0,0.0,1.0,0.5197426045334134,0.6962573954665866
parameter_plus_comm,drr_system,100,0.6459999999999999,0.45380990992202264,0.04538099099220226,1.0,0.0,1.0,0.0,1.0,0.5570532576552835,0.7349467423447164
parameter_plus_comm,irr_system,80,0.7,0.43399819167796866,0.04852247293519607,1.0,0.30000000000000004,1.0,0.0,1.0,0.6048959530470157,0.7951040469529842
parameter_plus_comm,retention_system,100,0.6240000000000001,0.44247239256457355,0.044247239256457356,1.0,0.15000000000000002,1.0,0.0,1.0,0.5372754110573437,0.7107245889426566
parameter_plus_comm,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
target_context,drr_target,225,0.24444444444444444,0.3893421394959729,0.02595614263306486,0.0,0.0,0.4,0.0,1.0,0.1935704048836373,0.29531848400525157
target_context,irr_target,195,0.20512820512820512,0.3502198999544164,0.025079767954195968,0.0,0.0,0.2,0.0,1.0,0.15597185993798102,0.2542845503184292
target_context,retention_target,225,0.42400000000000004,0.4333754558281833,0.02889169705521222,0.2,0.0,1.0,0.0,1.0,0.3673722737717841,0.480627726228216
target_context,drr_system,225,0.3208888888888889,0.4242210415143172,0.028281402767621148,0.0,0.0,0.8,0.0,1.0,0.26545733946435146,0.3763204383134263
target_context,irr_system,195,0.22769230769230772,0.379707304112251,0.027191404825619728,0.0,0.0,0.2,0.0,1.0,0.17439715423409305,0.28098746115052237
target_context,retention_system,225,0.37688888888888894,0.43115201900497174,0.028743467933664783,0.2,0.0,1.0,0.0,1.0,0.32055169173890596,0.4332260860388719
target_context,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
target_context_comm,drr_target,285,0.14385964912280702,0.29396365101759564,0.017412903878223824,0.0,0.0,0.2,0.0,1.0,0.10973035752148833,0.17798894072412572
target_context_comm,irr_target,243,0.20164609053497942,0.33966038923554903,0.021789224128688587,0.0,0.0,0.4,0.0,1.0,0.1589392112427498,0.24435296982720905
