model_id,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,drr_target,693,0.1924963924963925,0.3840026892837347,0.014587055944275215,0.0,0.0,0.0,0.0,1.0,0.1639057628456131,0.2210870221471719
mistral_7b,irr_target,585,0.21914529914529912,0.3710997462411247,0.015343086177046838,0.0,0.0,0.4,0.0,1.0,0.18907285023828732,0.24921774805231092
mistral_7b,retention_target,675,0.29748148148148146,0.4233989190895853,0.016296631994064576,0.0,0.0,0.8,0.0,1.0,0.2655400827731149,0.329422880189848
mistral_7b,drr_system,693,0.24906204906204904,0.42360258247377847,0.016091331496167708,0.0,0.0,0.4,0.0,1.0,0.21752303932956032,0.2806010587945377
mistral_7b,irr_system,585,0.23350427350427355,0.38442118970566586,0.015893860078536673,0.0,0.0,0.4,0.0,1.0,0.2023523077503417,0.2646562392582054
mistral_7b,retention_system,675,0.26844444444444443,0.412989870380131,0.015895987522437153,0.0,0.0,0.6,0.0,1.0,0.23728830890046762,0.29960057998842127
mistral_7b,n_scored_probes,693,14.090909090909092,2.2416423864087696,0.08515295285716729,15.0,15.0,15.0,5.0,15.0,13.924009303309044,14.25780887850914
qwen25coder_14b,drr_target,135,0.2607407407407408,0.40759511229480094,0.03508020182029569,0.0,0.0,0.6,0.0,1.0,0.19198354517296123,0.3294979363085203
qwen25coder_14b,irr_target,117,0.22735042735042732,0.38587650597852563,0.03567429559749899,0.0,0.0,0.4,0.0,1.0,0.1574288079793293,0.29727204672152535
qwen25coder_14b,retention_target,135,0.5274074074074074,0.44089962807227806,0.037946598152732824,0.4,0.0,1.0,0.0,1.0,0.4530320750280511,0.6017827397867638
qwen25coder_14b,drr_system,135,0.28444444444444444,0.4242406151024293,0.036512818601699984,0.0,0.0,0.7,0.0,1.0,0.21287931998511248,0.35600956890377644
qwen25coder_14b,irr_system,117,0.28034188034188046,0.41361303676164807,0.03823853877549985,0.0,0.0,0.6,0.0,1.0,0.20539434434190074,0.3552894163418602
qwen25coder_14b,retention_system,135,0.37333333333333335,0.44841345526831783,0.03859328543265599,0.0,0.0,1.0,0.0,1.0,0.2976904938853276,0.4489761727813391
qwen25coder_14b,n_scored_probes,135,14.333333333333334,1.706003447005319,0.1468293986405344,15.0,15.0,15.0,10.0,15.0,14.045547711997887,14.62111895466878
qwen25coder_1p5b,drr_target,135,0.1496296296296296,0.3391988088884664,0.02919358528618717,0.0,0.0,0.0,0.0,1.0,0.09241020246870277,0.20684905679055646
qwen25coder_1p5b,irr_target,117,0.1641025641025641,0.33488586281606203,0.030960208969520793,0.0,0.0,0.0,0.0,1.0,0.10342055452230335,0.22478457368282484
qwen25coder_1p5b,retention_target,135,0.397037037037037,0.4438536703774941,0.03820084163389047,0.2,0.0,1.0,0.0,1.0,0.3221633874346117,0.47191068663946234
qwen25coder_1p5b,drr_system,135,0.2251851851851852,0.38356507523895145,0.033012025524161194,0.0,0.0,0.4,0.0,1.0,0.16048161515782927,0.28988875521254115
qwen25coder_1p5b,irr_system,117,0.22393162393162397,0.36214151659679916,0.03347999505292443,0.0,0.0,0.4,0.0,1.0,0.1583108336278921,0.2895524142353558
qwen25coder_1p5b,retention_system,135,0.37777777777777777,0.4456534137355276,0.038355738879515155,0.0,0.0,1.0,0.0,1.0,0.3026005295739281,0.45295502598162746
qwen25coder_1p5b,n_scored_probes,135,14.333333333333334,1.706003447005319,0.1468293986405344,15.0,15.0,15.0,10.0,15.0,14.045547711997887,14.62111895466878
qwen25coder_7b,drr_target,135,0.28888888888888886,0.4071500267451876,0.035041894955378135,0.0,0.0,0.7,0.0,1.0,0.2202067747763477,0.35757100300143
qwen25coder_7b,irr_target,117,0.19999999999999998,0.3648334527916294,0.03372886464217411,0.0,0.0,0.2,0.0,1.0,0.13389142530133874,0.2661085746986612
qwen25coder_7b,retention_target,135,0.597037037037037,0.4391206852676851,0.037793491133709625,0.8,0.1,1.0,0.0,1.0,0.5229617944149662,0.6711122796591079
qwen25coder_7b,drr_system,135,0.33037037037037037,0.43456515820699854,0.037401413790615484,0.0,0.0,0.8,0.0,1.0,0.257063599340764,0.40367714139997674
qwen25coder_7b,irr_system,117,0.20341880341880342,0.3657612807159469,0.03381464236412114,0.0,0.0,0.2,0.0,1.0,0.13714210438512597,0.26969550245248086
qwen25coder_7b,retention_system,135,0.46814814814814815,0.4617700939638478,0.03974284185996926,0.4,0.0,1.0,0.0,1.0,0.39025217810260837,0.5460441181936879
qwen25coder_7b,n_scored_probes,135,14.333333333333334,1.706003447005319,0.1468293986405344,15.0,15.0,15.0,10.0,15.0,14.045547711997887,14.62111895466878
qwen3_14b,drr_target,225,0.41244444444444445,0.4498271272883,0.02998847515255333,0.2,0.0,1.0,0.0,1.0,0.3536670331454399,0.471221855743449
qwen3_14b,irr_target,195,0.275897435897436,0.4101591214276463,0.02937210475772834,0.0,0.0,0.5,0.0,1.0,0.21832811057228843,0.3334667612225835
qwen3_14b,retention_target,225,0.5920000000000001,0.4405029592895571,0.02936686395263714,0.8,0.0,1.0,0.0,1.0,0.5344409466528313,0.6495590533471689
qwen3_14b,drr_system,225,0.4364444444444444,0.4526763446612525,0.030178422977416835,0.2,0.0,1.0,0.0,1.0,0.3772947354087074,0.49559415348018143
qwen3_14b,irr_system,195,0.30256410256410254,0.4227348243218465,0.03027266954713209,0.0,0.0,0.8,0.0,1.0,0.24322967025172365,0.36189853487648144
qwen3_14b,retention_system,225,0.5146666666666667,0.4584601556141103,0.03056401037427402,0.6,0.0,1.0,0.0,1.0,0.45476120633308964,0.5745721270002437
qwen3_14b,n_scored_probes,225,14.333333333333334,1.7034628596731172,0.11356419064487448,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
qwen3_4b,drr_target,775,0.3390967741935484,0.41758096236741876,0.014999950973326315,0.2,0.0,0.9,0.0,1.0,0.3096968702858288,0.36849667810126796
qwen3_4b,irr_target,665,0.276390977443609,0.39613976621427716,0.015361641241042556,0.0,0.0,0.4,0.0,1.0,0.24628216061116562,0.30649979427605245
qwen3_4b,retention_target,775,0.544258064516129,0.4142050516224189,0.014878684679532087,0.4,0.2,1.0,0.0,1.0,0.5150958425442461,0.5734202864880119
qwen3_4b,drr_system,775,0.42812903225806453,0.42357343355480087,0.015215206892825617,0.2,0.0,1.0,0.0,1.0,0.39830722674812635,0.4579508377680027
qwen3_4b,irr_system,665,0.2986466165413534,0.4012194926188909,0.015558624581988232,0.0,0.0,0.6,0.0,1.0,0.26815171236065644,0.32914152072205033
qwen3_4b,retention_system,775,0.5050322580645161,0.4186393213579123,0.015037968350554385,0.4,0.0,1.0,0.0,1.0,0.4755578400974295,0.5345066760316027
qwen3_4b,n_scored_probes,775,14.290322580645162,1.746046630641851,0.06271984648985246,15.0,15.0,15.0,10.0,15.0,14.167391681525052,14.413253479765272
qwen3_8b,drr_target,1623,0.24374614910659273,0.3930766620865261,0.00975703807076761,0.0,0.0,0.4,0.0,1.0,0.22462235448788823,0.26286994372529726
qwen3_8b,irr_target,1329,0.29541008276899927,0.4162204451543992,0.011417234440123497,0.0,0.0,0.6,0.0,1.0,0.2730323032663572,0.31778786227164135
qwen3_8b,retention_target,1605,0.4961993769470406,0.4620962321909776,0.011534397367006162,0.6,0.0,1.0,0.0,1.0,0.4735919581077085,0.5188067957863727
qwen3_8b,drr_system,1623,0.39063462723351816,0.457421097704427,0.01135421024739436,0.0,0.0,1.0,0.0,1.0,0.3683803751486252,0.4128888793184111
qwen3_8b,irr_system,1329,0.39668924003009787,0.45640145007066507,0.012519429102854645,0.0,0.0,1.0,0.0,1.0,0.37215115898850276,0.421227321071693
qwen3_8b,retention_system,1605,0.49183800623052965,0.4771219030813954,0.011909453571066075,0.4,0.0,1.0,0.0,1.0,0.46849547723124013,0.5151805352298191
qwen3_8b,n_scored_probes,1623,14.038817005545287,2.106966093993828,0.05229959032365302,15.0,15.0,15.0,5.0,15.0,13.936309808510927,14.141324202579646
