parameter_method,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
gradient_ascent,drr_target,100,0.642,0.4470283474617057,0.044702834746170574,1.0,0.0,1.0,0.0,1.0,0.5543824438975057,0.7296175561024943
gradient_ascent,irr_target,80,0.72,0.43001324677858854,0.04807694255111582,1.0,0.30000000000000004,1.0,0.0,1.0,0.625769192599813,0.8142308074001869
gradient_ascent,retention_target,100,0.588,0.4643405229054656,0.04643405229054656,1.0,0.0,1.0,0.0,1.0,0.4969892575105287,0.6790107424894712
gradient_ascent,drr_system,100,0.6540000000000002,0.4511310141402295,0.04511310141402295,1.0,0.0,1.0,0.0,1.0,0.5655783212285153,0.7424216787714852
gradient_ascent,irr_system,80,0.7050000000000001,0.4339690241527045,0.04851921190673476,1.0,0.30000000000000004,1.0,0.0,1.0,0.6099023446627999,0.8000976553372002
gradient_ascent,retention_system,100,0.612,0.45020309670506303,0.045020309670506305,1.0,0.0,1.0,0.0,1.0,0.5237601930458077,0.7002398069541923
gradient_ascent,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
lora_grad_diff,drr_target,100,0.596,0.4773495849611961,0.04773495849611961,1.0,0.0,1.0,0.0,1.0,0.5024394813476055,0.6895605186523944
lora_grad_diff,irr_target,80,0.7224999999999999,0.4357374078589018,0.048716923215602774,1.0,0.30000000000000004,1.0,0.0,1.0,0.6270148304974185,0.8179851695025814
lora_grad_diff,retention_target,100,0.628,0.4348644279624061,0.04348644279624061,1.0,0.2,1.0,0.0,1.0,0.5427665721193684,0.7132334278806316
lora_grad_diff,drr_system,100,0.6360000000000001,0.4578209256903839,0.04578209256903839,1.0,0.0,1.0,0.0,1.0,0.5462670985646849,0.7257329014353153
lora_grad_diff,irr_system,80,0.6975,0.4328226461704317,0.04839104295192121,1.0,0.30000000000000004,1.0,0.0,1.0,0.6026535558142344,0.7923464441857656
lora_grad_diff,retention_system,100,0.636,0.43426938527819237,0.04342693852781924,1.0,0.2,1.0,0.0,1.0,0.5508832004854743,0.7211167995145257
lora_grad_diff,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
none,drr_target,3521,0.24288554387957967,0.39131345073434454,0.006594650193063939,0.0,0.0,0.4,0.0,1.0,0.22996002950117433,0.255811058257985
none,irr_target,2965,0.24020236087689714,0.38209234607042114,0.007017072914342092,0.0,0.0,0.4,0.0,1.0,0.22644889796478665,0.25395582378900766
none,retention_target,3485,0.46944045911047344,0.45018028309042063,0.007625794166293603,0.4,0.0,1.0,0.0,1.0,0.454493902544538,0.4843870156764089
none,drr_system,3521,0.3467764839534223,0.43887314158123636,0.007396154776760042,0.0,0.0,1.0,0.0,1.0,0.3322800205909726,0.361272947315872
none,irr_system,2965,0.3008431703204047,0.4174208661677239,0.00766587628354877,0.0,0.0,0.8,0.0,1.0,0.2858180528046491,0.3158682878361603
none,retention_system,3485,0.43546628407460547,0.45752302185222654,0.007750175922931201,0.2,0.0,1.0,0.0,1.0,0.4202759392656603,0.4506566288835506
none,n_scored_probes,3521,14.159329735870491,2.0022441967316675,0.03374302634820918,15.0,15.0,15.0,5.0,15.0,14.093193404228002,14.225466067512981
