topology,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
debate,drr_target,847,0.2285714285714286,0.3773563813797924,0.012966118711352927,0.0,0.0,0.4,0.0,1.0,0.20315783589717684,0.25398502124568034
debate,irr_target,707,0.24554455445544557,0.3781823708080434,0.014223011893146181,0.0,0.0,0.4,0.0,1.0,0.21766745114487906,0.27342165776601207
debate,retention_target,835,0.3180838323353294,0.395897629459529,0.013700602417441643,0.0,0.0,0.6,0.0,1.0,0.2912306515971438,0.344937013073515
debate,drr_system,847,0.34238488783943327,0.43345386011589143,0.01489365089204711,0.0,0.0,0.8,0.0,1.0,0.31319333209102096,0.3715764435878456
debate,irr_system,707,0.28826025459688825,0.3961796315354452,0.014899868545197304,0.0,0.0,0.6,0.0,1.0,0.25905651224830156,0.31746399694547495
debate,retention_system,835,0.3384431137724551,0.42363616132211995,0.014660533895717254,0.0,0.0,0.8,0.0,1.0,0.3097084673368493,0.3671777602080609
debate,n_scored_probes,847,14.10271546635183,2.0963955767499542,0.07203300448956104,15.0,15.0,15.0,5.0,15.0,13.96153077755229,14.243900155151369
hierarchical,drr_target,590,0.23389830508474577,0.3999194186623955,0.01646442191068357,0.0,0.0,0.2,0.0,1.0,0.20162803813980595,0.2661685720296856
hierarchical,irr_target,502,0.18406374501992032,0.3525569841404172,0.015735388281035614,0.0,0.0,0.15000000000000002,0.0,1.0,0.15322238398909052,0.2149051060507501
hierarchical,retention_target,590,0.511864406779661,0.45775147866308236,0.018845330142146774,0.5,0.0,1.0,0.0,1.0,0.4749275597010534,0.5488012538582687
hierarchical,drr_system,590,0.4135593220338983,0.4612883806894903,0.018990942094210275,0.2,0.0,1.0,0.0,1.0,0.3763370755292461,0.45078156853855045
hierarchical,irr_system,502,0.33904382470119526,0.44964998815525076,0.020068861127334588,0.0,0.0,1.0,0.0,1.0,0.29970885689161947,0.37837879251077106
hierarchical,retention_system,590,0.40576271186440677,0.457832063389706,0.018848647762839277,0.0,0.0,1.0,0.0,1.0,0.3688193622492418,0.44270606147957176
hierarchical,n_scored_probes,590,14.254237288135593,1.7827052594500112,0.07339281406276836,15.0,15.0,15.0,10.0,15.0,14.110387372572568,14.39808720369862
independent,drr_target,737,0.23202170963364993,0.38989318432132836,0.014361900033239203,0.0,0.0,0.4,0.0,1.0,0.2038723855685011,0.2601710336987988
independent,irr_target,619,0.2012924071082391,0.35870805140066997,0.014417693880543534,0.0,0.0,0.2,0.0,1.0,0.17303372710237377,0.2295510871141044
independent,retention_target,725,0.5630344827586208,0.45803044022031225,0.017010823498418964,0.8,0.0,1.0,0.0,1.0,0.5296932687017196,0.5963756968155219
independent,drr_system,737,0.23202170963364993,0.38989318432132836,0.014361900033239203,0.0,0.0,0.4,0.0,1.0,0.2038723855685011,0.2601710336987988
independent,irr_system,619,0.2012924071082391,0.35870805140066997,0.014417693880543534,0.0,0.0,0.2,0.0,1.0,0.17303372710237377,0.2295510871141044
independent,retention_system,725,0.5630344827586208,0.45803044022031225,0.017010823498418964,0.8,0.0,1.0,0.0,1.0,0.5296932687017196,0.5963756968155219
independent,n_scored_probes,737,14.118046132971505,2.10999497295902,0.07772266377270193,15.0,15.0,15.0,5.0,15.0,13.96570971197701,14.270382553966002
scratchpad,drr_target,817,0.3326805385556915,0.4240581108736736,0.014835915327197573,0.0,0.0,0.8,0.0,1.0,0.3036021445143843,0.36175893259699876
scratchpad,irr_target,683,0.3297218155197657,0.42264813666525386,0.016172181501101054,0.0,0.0,0.8,0.0,1.0,0.2980243397776076,0.3614192912619238
scratchpad,retention_target,805,0.551304347826087,0.4436550058574415,0.01563678432027238,0.8,0.0,1.0,0.0,1.0,0.5206562505583531,0.5819524450938208
scratchpad,drr_system,817,0.42986536107711143,0.4496066979378058,0.01572974724479038,0.2,0.0,1.0,0.0,1.0,0.3990350564773223,0.46069566567690057
scratchpad,irr_system,683,0.3938506588579795,0.4460549996452338,0.017067820221930076,0.2,0.0,1.0,0.0,1.0,0.36039773122299656,0.4273035864929624
scratchpad,retention_system,805,0.49142857142857144,0.46572959018373294,0.016414811186897655,0.4,0.0,1.0,0.0,1.0,0.459255541502252,0.5236016013548909
scratchpad,n_scored_probes,817,14.106487148102815,2.09975944528943,0.07346128405282978,15.0,15.0,15.0,5.0,15.0,13.962503031359269,14.250471264846361
sequential,drr_target,730,0.28027397260273973,0.41990257084964927,0.015541291399513163,0.0,0.0,0.6,0.0,1.0,0.24981304145969394,0.31073490374578555
sequential,irr_target,614,0.3449511400651466,0.44248178280526074,0.017857111472854296,0.0,0.0,1.0,0.0,1.0,0.3099512015783522,0.379951078551941
sequential,retention_target,730,0.46301369863013697,0.45935090164371806,0.017001339626544692,0.2,0.0,1.0,0.0,1.0,0.4296910729621094,0.49633632429816454
sequential,drr_system,730,0.40246575342465757,0.46157653388227593,0.01708371397137804,0.0,0.0,1.0,0.0,1.0,0.3689816740407566,0.43594983280855854
sequential,irr_system,614,0.38534201954397396,0.4555048078527728,0.01838267799112505,0.0,0.0,1.0,0.0,1.0,0.3493119706813689,0.42137206840657904
sequential,retention_system,730,0.43369863013698623,0.45819921524223617,0.016958713800439198,0.2,0.0,1.0,0.0,1.0,0.4004595510881254,0.46693770918584704
sequential,n_scored_probes,730,14.205479452054794,1.829186511864667,0.06770123018638713,15.0,15.0,15.0,10.0,15.0,14.072785040889475,14.338173863220113
