topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
debate,communication,drr_target,45,0.2711111111111111,0.40486935166691984,0.060354359488900035,0.0,0.0,0.4,0.0,1.0,0.152816566512867,0.38940565570935515
debate,communication,irr_target,39,0.19999999999999998,0.37556974262971105,0.06013928951234736,0.0,0.0,0.1,0.0,1.0,0.08212699255579917,0.3178730074442008
debate,communication,retention_target,45,0.2177777777777778,0.35884213349003036,0.05349302691165078,0.0,0.0,0.4,0.0,1.0,0.11293144503094227,0.3226241105246133
debate,communication,drr_system,45,0.3066666666666667,0.4297991074063239,0.0640706680552849,0.0,0.0,0.8,0.0,1.0,0.1810881572783083,0.4322451760550251
debate,communication,irr_system,39,0.2153846153846154,0.3766461843403404,0.06031165813614923,0.0,0.0,0.30000000000000004,0.0,1.0,0.09717376543776292,0.3335954653314679
debate,communication,retention_system,45,0.2222222222222222,0.3521937024428518,0.05250193732730336,0.0,0.0,0.4,0.0,1.0,0.11931842506070764,0.32512601938373675
debate,communication,n_scored_probes,45,14.333333333333334,1.718879127380822,0.25623537159526916,15.0,15.0,15.0,10.0,15.0,13.831112005006606,14.835554661660062
debate,full_inference,drr_target,204,0.041176470588235294,0.12504418228153302,0.008754843903619941,0.0,0.0,0.0,0.0,0.8,0.02401697653714021,0.05833596463933038
debate,full_inference,irr_target,167,0.19520958083832335,0.3449826926396563,0.026695562238674943,0.0,0.0,0.2,0.0,1.0,0.14288627885052047,0.24753288282612623
debate,full_inference,retention_target,200,0.38,0.4079609795115461,0.02884719750721204,0.2,0.0,0.8,0.0,1.0,0.3234594928858644,0.4365405071141356
debate,full_inference,drr_system,204,0.346078431372549,0.42857802886189006,0.03000646391336431,0.0,0.0,0.8,0.0,1.0,0.287265762102355,0.40489110064274303
debate,full_inference,irr_system,167,0.3317365269461078,0.4099794030029562,0.03172515869041632,0.0,0.0,0.8,0.0,1.0,0.2695552159128918,0.3939178379793238
debate,full_inference,retention_system,200,0.405,0.45254722955165066,0.03199992148231573,0.2,0.0,1.0,0.0,1.0,0.3422801538946612,0.46771984610533884
debate,full_inference,n_scored_probes,204,13.995098039215685,2.2404643014133176,0.15686387701223983,15.0,15.0,15.0,5.0,15.0,13.687644840271695,14.302551238159676
debate,global_context,drr_target,45,0.04,0.10954451150103325,0.016329931618554526,0.0,0.0,0.0,0.0,0.4,0.00799333402763313,0.07200666597236688
debate,global_context,irr_target,39,0.08717948717948719,0.17648540595618542,0.028260282229305298,0.0,0.0,0.0,0.0,0.6,0.031789334010048804,0.14256964034892558
debate,global_context,retention_target,45,0.24000000000000002,0.34798119071425265,0.051873973155225836,0.0,0.0,0.4,0.0,1.0,0.1383270126157574,0.3416729873842427
debate,global_context,drr_system,45,0.04,0.10954451150103325,0.016329931618554526,0.0,0.0,0.0,0.0,0.4,0.00799333402763313,0.07200666597236688
debate,global_context,irr_system,39,0.08717948717948719,0.17648540595618542,0.028260282229305298,0.0,0.0,0.0,0.0,0.6,0.031789334010048804,0.14256964034892558
debate,global_context,retention_system,45,0.24000000000000002,0.34798119071425265,0.051873973155225836,0.0,0.0,0.4,0.0,1.0,0.1383270126157574,0.3416729873842427
debate,global_context,n_scored_probes,45,14.333333333333334,1.718879127380822,0.25623537159526916,15.0,15.0,15.0,10.0,15.0,13.831112005006606,14.835554661660062
debate,none,drr_target,109,0.3082568807339449,0.43336077698716674,0.04150843431821697,0.0,0.0,0.8,0.0,1.0,0.22690034947023965,0.3896134119976502
debate,none,irr_target,91,0.21758241758241756,0.3813990055902105,0.039981479430103585,0.0,0.0,0.2,0.0,1.0,0.13921871789941453,0.2959461172654206
debate,none,retention_target,105,0.2361904761904762,0.36456607756129056,0.035578006168662406,0.0,0.0,0.4,0.0,1.0,0.1664575840998979,0.3059233682810545
debate,none,drr_system,109,0.3082568807339449,0.43336077698716674,0.04150843431821697,0.0,0.0,0.8,0.0,1.0,0.22690034947023965,0.3896134119976502
debate,none,irr_system,91,0.21758241758241756,0.3813990055902105,0.039981479430103585,0.0,0.0,0.2,0.0,1.0,0.13921871789941453,0.2959461172654206
debate,none,retention_system,105,0.2361904761904762,0.36456607756129056,0.035578006168662406,0.0,0.0,0.4,0.0,1.0,0.1664575840998979,0.3059233682810545
debate,none,n_scored_probes,109,13.990825688073395,2.432402458339083,0.23298190108337202,15.0,15.0,15.0,5.0,15.0,13.534181161949986,14.447470214196803
debate,parameter_only,drr_target,20,0.5900000000000001,0.4961960563283323,0.11095281121174656,1.0,0.0,1.0,0.0,1.0,0.3725324900249768,0.8074675099750234
debate,parameter_only,irr_target,16,0.6125,0.43493294502332963,0.10873323625583241,0.8,0.30000000000000004,1.0,0.0,1.0,0.39938285693856856,0.8256171430614315
debate,parameter_only,retention_target,20,0.5,0.43769732392193245,0.09787209698591857,0.5,0.0,1.0,0.0,1.0,0.3081706899075996,0.6918293100924005
debate,parameter_only,drr_system,20,0.62,0.4763899331651044,0.10652402743537549,1.0,0.0,1.0,0.0,1.0,0.41121290622666407,0.8287870937733359
debate,parameter_only,irr_system,16,0.6,0.4381780460041329,0.10954451150103323,0.7,0.30000000000000004,1.0,0.0,1.0,0.38529275745797487,0.8147072425420251
debate,parameter_only,retention_system,20,0.48,0.4225237458291234,0.09447918177817631,0.5,0.0,1.0,0.0,1.0,0.2948208037147744,0.6651791962852256
debate,parameter_only,n_scored_probes,20,14.0,2.051956704170308,0.45883146774112343,15.0,15.0,15.0,10.0,15.0,13.100690323227399,14.899309676772601
debate,parameter_plus_comm,drr_target,20,0.57,0.48242806935880417,0.10787419573402694,0.8,0.0,1.0,0.0,1.0,0.3585665763613072,0.7814334236386927
debate,parameter_plus_comm,irr_target,16,0.6625,0.43030996579984837,0.10757749144996209,0.9,0.30000000000000004,1.0,0.0,1.0,0.45164811675807426,0.8733518832419257
debate,parameter_plus_comm,retention_target,20,0.5,0.43769732392193245,0.09787209698591857,0.5,0.0,1.0,0.0,1.0,0.3081706899075996,0.6918293100924005
debate,parameter_plus_comm,drr_system,20,0.62,0.4763899331651044,0.10652402743537549,1.0,0.0,1.0,0.0,1.0,0.41121290622666407,0.8287870937733359
debate,parameter_plus_comm,irr_system,16,0.5875,0.42875789594284247,0.10718947398571062,0.6000000000000001,0.30000000000000004,1.0,0.0,1.0,0.37740863098800725,0.7975913690119928
debate,parameter_plus_comm,retention_system,20,0.48,0.4225237458291234,0.09447918177817631,0.5,0.0,1.0,0.0,1.0,0.2948208037147744,0.6651791962852256
debate,parameter_plus_comm,n_scored_probes,20,14.0,2.051956704170308,0.45883146774112343,15.0,15.0,15.0,10.0,15.0,13.100690323227399,14.899309676772601
debate,target_context,drr_target,45,0.24888888888888888,0.37936683028329177,0.05655266806147108,0.0,0.0,0.4,0.0,1.0,0.13804565948840558,0.3597321182893722
debate,target_context,irr_target,39,0.1794871794871795,0.33021483212845665,0.05287669142778653,0.0,0.0,0.2,0.0,1.0,0.07584886428871788,0.2831254946856411
debate,target_context,retention_target,45,0.2177777777777778,0.34594330124569206,0.051570182529737,0.0,0.0,0.4,0.0,1.0,0.11670022001949326,0.3188553355360623
debate,target_context,drr_system,45,0.2977777777777778,0.4191381248189762,0.062481422603801504,0.0,0.0,0.8,0.0,1.0,0.17531418947432686,0.42024136608122875
debate,target_context,irr_system,39,0.19487179487179487,0.35388722404380535,0.05666730784134179,0.0,0.0,0.2,0.0,1.0,0.08380387150276497,0.3059397182408248
debate,target_context,retention_system,45,0.2577777777777777,0.3683432742385392,0.05490937335014805,0.0,0.0,0.4,0.0,1.0,0.15015540601148755,0.36540014954406785
debate,target_context,n_scored_probes,45,14.333333333333334,1.718879127380822,0.25623537159526916,15.0,15.0,15.0,10.0,15.0,13.831112005006606,14.835554661660062
debate,target_context_comm,drr_target,65,0.16000000000000003,0.31464265445104544,0.03902661813527945,0.0,0.0,0.2,0.0,1.0,0.0835078284548523,0.23649217154514776
debate,target_context_comm,irr_target,55,0.21454545454545457,0.3566397610922248,0.048089295575460295,0.0,0.0,0.4,0.0,1.0,0.1202904352175524,0.30880047387335674
debate,target_context_comm,retention_target,65,0.30153846153846153,0.4033036649397649,0.05002366303965879,0.0,0.0,0.6,0.0,1.0,0.2034920819807303,0.39958484109619274
debate,target_context_comm,drr_system,65,0.4,0.45689167206242665,0.05667043728028276,0.0,0.0,1.0,0.0,1.0,0.28892594293064583,0.5110740570693543
debate,target_context_comm,irr_system,55,0.3090909090909091,0.3996631578349945,0.05389056920879566,0.0,0.0,0.8,0.0,1.0,0.20346539344166958,0.4147164247401486
