intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
communication,chain_length,3225,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
communication,target_agent_position,3225,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
communication,peer_evidence,3225,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
communication,target_exact,3225,0.09457364341085271,0.2926705133626607,0.005153640374898804,0.0,0.0,0.0,0.0,1.0,0.08447250827605106,0.10467477854565437
communication,target_token_f1,3225,0.3586440163942976,0.31006813339656186,0.0054599953814339465,0.1999999999999999,0.125,0.5641025641025641,0.0,1.0,0.3479424254466871,0.36934560734190813
communication,target_semantic,3225,0.4719191217182796,0.2781186071624654,0.004897395594844256,0.3692744672298431,0.2581988871097564,0.6882472038269043,0.0,1.0,0.46232022635238484,0.48151801708417435
communication,target_positive,3225,0.2924031007751938,0.4549370324169353,0.008010994450251607,0.0,0.0,1.0,0.0,1.0,0.27670155165270066,0.308104649897687
communication,system_exact,3225,0.07782945736434109,0.2679445739841134,0.004718240860186917,0.0,0.0,0.0,0.0,1.0,0.06858170527837473,0.08707720945030745
communication,system_token_f1,3225,0.3563451680314523,0.3034511847443025,0.0053434774126741085,0.1999999999999999,0.125,0.5609756097560976,0.0,1.0,0.34587195230261103,0.3668183837602935
communication,system_semantic,3225,0.46951373135916485,0.2719022053648749,0.0047879308629088,0.3651483654975891,0.2591605186462402,0.6693280339241028,0.0,1.0,0.4601293868678636,0.4788980758504661
communication,system_positive,3225,0.28217054263565894,0.45012570831749005,0.00792627175697195,0.0,0.0,1.0,0.0,1.0,0.2666350499919939,0.297706035279324
full_inference,chain_length,11685,3.994009413778348,0.41678049261945316,0.0038556093544421695,4.0,4.0,4.0,1.0,8.0,3.9864524194436415,4.001566408113055
full_inference,target_agent_position,11685,2.011981172443303,0.1892168936783878,0.00175043323333034,2.0,2.0,2.0,1.0,4.0,2.008550323305976,2.0154120215806306
full_inference,peer_evidence,11685,0.959563543003851,0.17590154485043685,0.0016272538033717894,1.0,1.0,1.0,0.0,1.0,0.9563741255492424,0.9627529604584597
full_inference,target_exact,11685,0.06418485237483953,0.2450924272692456,0.0022673341771421805,0.0,0.0,0.0,0.0,1.0,0.05974087738764086,0.06862882736203821
full_inference,target_token_f1,11685,0.3317136449054941,0.28503933260906433,0.0026368804122387703,0.2666666666666667,0.1176470588235294,0.48,0.0,1.0,0.3265453592975061,0.3368819305134821
full_inference,target_semantic,11685,0.423821012863541,0.2740360782451945,0.0025350900184801565,0.3763376176357269,0.2425356209278106,0.5807600617408752,0.0,1.0,0.4188522364273199,0.42878978929976214
full_inference,target_positive,11685,0.24030808729139924,0.42728881949945263,0.003952821206089592,0.0,0.0,0.0,0.0,1.0,0.23256055772746365,0.24805561685533484
full_inference,system_exact,11685,0.05964912280701754,0.2368457422710683,0.002191044628122567,0.0,0.0,0.0,0.0,1.0,0.05535467533589731,0.06394357027813777
full_inference,system_token_f1,11685,0.3952526443728016,0.305095303218164,0.002822416897900222,0.3089430894308943,0.125,0.6571428571428573,0.0,1.0,0.3897207072529172,0.40078458149268603
full_inference,system_semantic,11685,0.49229785072839205,0.28429917717570574,0.002630033282243163,0.4330126941204071,0.2773500978946686,0.7429815530776978,0.0,1.0,0.48714298549519547,0.49745271596158863
full_inference,system_positive,11685,0.362002567394095,0.4806001201783968,0.004446000597244289,0.0,0.0,1.0,0.0,1.0,0.35328840622349617,0.3707167285646938
global_context,chain_length,3225,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
global_context,target_agent_position,3225,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
global_context,peer_evidence,3225,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
global_context,target_exact,3225,0.07069767441860465,0.2563589115114577,0.004514228719698267,0.0,0.0,0.0,0.0,1.0,0.06184978612799605,0.07954556270921326
global_context,target_token_f1,3225,0.2917542330213908,0.26754531147906535,0.004711210239498288,0.1999999999999999,0.1052631578947368,0.4,0.0,1.0,0.2825202609519742,0.3009882050908074
global_context,target_semantic,3225,0.4064471478933512,0.25408043984152273,0.004474107070761637,0.3455473780632019,0.2532511055469513,0.5345224738121033,0.0,1.0,0.39767789803465836,0.415216397752044
global_context,target_positive,3225,0.17829457364341086,0.3828198804165395,0.006741082213444183,0.0,0.0,0.0,0.0,1.0,0.16508205250506028,0.19150709478176145
global_context,system_exact,3225,0.06201550387596899,0.24122110983293768,0.0042476668955456565,0.0,0.0,0.0,0.0,1.0,0.05369007676069951,0.07034093099123848
global_context,system_token_f1,3225,0.2843451761304497,0.260076976513367,0.004579700193712438,0.1999999999999999,0.1081081081081081,0.4,0.0,1.0,0.2753689637507733,0.29332138851012607
global_context,system_semantic,3225,0.39877468142860617,0.24811683966905482,0.0043690939272253764,0.3333333432674408,0.25,0.5345224738121033,0.0,1.0,0.39021125733124445,0.4073381055259679
global_context,system_positive,3225,0.16434108527131783,0.37064226698578945,0.0065266463978044436,0.0,0.0,0.0,0.0,1.0,0.15154885833162113,0.17713331221101453
none,chain_length,6295,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
none,target_agent_position,6295,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
none,peer_evidence,6295,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
none,target_exact,6295,0.13391580619539317,0.34058888780357854,0.004292720448333699,0.0,0.0,0.0,0.0,1.0,0.12550207411665912,0.14232953827412723
none,target_token_f1,6295,0.38964409932779076,0.33092711454372165,0.004170945213952973,0.25,0.125,0.6666666666666666,0.0,1.0,0.38146904670844295,0.39781915194713857
none,target_semantic,6295,0.4944998252058344,0.2955817760923501,0.0037254589912463147,0.4082483053207397,0.2581988871097564,0.7233176231384277,0.0,1.0,0.48719792558299163,0.5018017248286771
none,target_positive,6295,0.3266084193804607,0.46900991825812727,0.005911315778860902,0.0,0.0,1.0,0.0,1.0,0.3150222404538933,0.3381945983070281
none,system_exact,6295,0.1096108022239873,0.31242884069777155,0.0039377963319988975,0.0,0.0,0.0,0.0,1.0,0.10189272141326945,0.11732888303470514
none,system_token_f1,6295,0.3726787923031076,0.3208718462080167,0.004044210439144182,0.2222222222222222,0.125,0.6096399535423926,0.0,1.0,0.36475213984238497,0.3806054447638302
none,system_semantic,6295,0.4804977242418397,0.28768266761303674,0.0036259000634391633,0.3779644668102264,0.2581988871097564,0.7071067690849304,0.0,1.0,0.4733909601174989,0.4876044883661804
none,system_positive,6295,0.3000794281175536,0.458328632200394,0.005776690790446787,0.0,0.0,1.0,0.0,1.0,0.28875711416827793,0.3114017420668293
parameter_only,chain_length,1400,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
parameter_only,target_agent_position,1400,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
parameter_only,peer_evidence,1400,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parameter_only,target_exact,1400,0.115,0.3191359403008511,0.008529266774369479,0.0,0.0,0.0,0.0,1.0,0.09828263712223582,0.13171736287776417
parameter_only,target_token_f1,1400,0.5627187059256468,0.31543470144309693,0.008430347004995689,0.626865671641791,0.1999999999999999,0.7887323943661972,0.0,1.0,0.5461952257958552,0.5792421860554383
parameter_only,target_semantic,1400,0.6489182197542063,0.2738001381707015,0.007317616496329507,0.7221410274505615,0.3814006447792053,0.8611921072006226,0.0,1.0,0.6345756914214005,0.6632607480870121
parameter_only,target_positive,1400,0.6357142857142857,0.4814012529515336,0.012865989672202401,1.0,0.0,1.0,0.0,1.0,0.610496945956769,0.6609316254718024
parameter_only,system_exact,1400,0.08857142857142856,0.28422567378101293,0.007596250655810911,0.0,0.0,0.0,0.0,1.0,0.07368277728603918,0.10346007985681795
parameter_only,system_token_f1,1400,0.5722228128943296,0.31005561039048124,0.00828658474948748,0.6428571428571428,0.1999999999999999,0.8048642533936652,0.0,1.0,0.5559811067853342,0.5884645190033251
parameter_only,system_semantic,1400,0.6532374410597341,0.2693710318657041,0.007199243651165932,0.7326271533966064,0.42682159692049026,0.8611921072006226,0.0,1.0,0.6391269235034489,0.6673479586160194
parameter_only,system_positive,1400,0.645,0.47868431192061595,0.012793376368789815,1.0,0.0,1.0,0.0,1.0,0.619924982317172,0.6700750176828281
parameter_plus_comm,chain_length,1400,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
parameter_plus_comm,target_agent_position,1400,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
parameter_plus_comm,peer_evidence,1400,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parameter_plus_comm,target_exact,1400,0.14285714285714285,0.35005214706856663,0.009355537155965574,0.0,0.0,0.0,0.0,1.0,0.12452029003145032,0.16119399568283538
parameter_plus_comm,target_token_f1,1400,0.5699768274345953,0.32258052599189885,0.008621327199335798,0.625,0.1999999999999999,0.8522222222222223,0.0,1.0,0.5530790261238971,0.5868746287452935
parameter_plus_comm,target_semantic,1400,0.6519879927725665,0.2793119268346932,0.007464925244679232,0.7130677700042725,0.3779644668102264,0.8932480961084366,0.0,1.0,0.6373567392929952,0.6666192462521378
parameter_plus_comm,target_positive,1400,0.6328571428571429,0.4821981561337845,0.012887287805619634,1.0,0.0,1.0,0.0,1.0,0.6075980587581284,0.6581162269561573
parameter_plus_comm,system_exact,1400,0.09,0.2862840229834396,0.0076512623522239104,0.0,0.0,0.0,0.0,1.0,0.07500352578964113,0.10499647421035886
parameter_plus_comm,system_token_f1,1400,0.5723445522536535,0.3101355916818816,0.008288722339414422,0.6428571428571428,0.25,0.8085106382978723,0.0,1.0,0.5560986564684013,0.5885904480389058
parameter_plus_comm,system_semantic,1400,0.6539999391191772,0.270378905336406,0.007226180202712969,0.7345913350582123,0.4330126941204071,0.8678128719329834,0.0,1.0,0.6398366259218597,0.6681632523164946
parameter_plus_comm,system_positive,1400,0.6435714285714286,0.47911502799222805,0.012804887740010883,1.0,0.0,1.0,0.0,1.0,0.6184738486010073,0.6686690085418499
target_context,chain_length,3225,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
target_context,target_agent_position,3225,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
target_context,peer_evidence,3225,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
target_context,target_exact,3225,0.07131782945736434,0.25739491051313823,0.004532471644897908,0.0,0.0,0.0,0.0,1.0,0.06243418503336444,0.08020147388136424
target_context,target_token_f1,3225,0.32463123608823763,0.28355777321665043,0.0049931739684855115,0.1999999999999999,0.1176470588235294,0.4444444444444445,0.0,1.0,0.31484461511000605,0.3344178570664692
target_context,target_semantic,3225,0.4449817273690719,0.25830726213786015,0.004548537261195389,0.3651483654975891,0.2581988871097564,0.6063390374183655,0.0,1.0,0.4360665943371289,0.45389686040101485
target_context,target_positive,3225,0.23937984496124032,0.4267711451418176,0.007515020830674753,0.0,0.0,0.0,0.0,1.0,0.2246504041331178,0.2541092857893628
target_context,system_exact,3225,0.06635658914728682,0.24894298250151495,0.004383641491337255,0.0,0.0,0.0,0.0,1.0,0.057764651824265795,0.07494852647030784
target_context,system_token_f1,3225,0.3333453541180133,0.2869166410051224,0.005052320332257273,0.1999999999999999,0.125,0.4657534246575343,0.0,1.0,0.32344280626678906,0.34324790196923755
target_context,system_semantic,3225,0.453468688599361,0.25936641714570036,0.004567187940927234,0.3651483654975891,0.2626128792762756,0.637535572052002,0.0,1.0,0.4445170002351436,0.4624203769635784
target_context,system_positive,3225,0.2564341085271318,0.4367319533585635,0.007690420883118146,0.0,0.0,1.0,0.0,1.0,0.2413608835962202,0.27150733345804334
target_context_comm,chain_length,4065,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
target_context_comm,target_agent_position,4065,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
target_context_comm,peer_evidence,4065,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
target_context_comm,target_exact,4065,0.05190651906519065,0.22186559366622252,0.0034798432636681032,0.0,0.0,0.0,0.0,1.0,0.045086026268401164,0.058727011861980136
target_context_comm,target_token_f1,4065,0.3205070024592013,0.26878436249429377,0.004215739077651727,0.2105263157894736,0.1176470588235294,0.4587155963302752,0.0,1.0,0.3122441538670039,0.32876985105139866
target_context_comm,target_semantic,4065,0.4359265742505022,0.24771904910980572,0.0038853408952803413,0.3728218674659729,0.2581988871097564,0.5807600617408752,0.0,1.0,0.42831130609575274,0.44354184240525163
target_context_comm,target_positive,4065,0.23542435424354244,0.42431594236385517,0.006655168786212025,0.0,0.0,0.0,0.0,1.0,0.22238022342256686,0.24846848506451802
target_context_comm,system_exact,4065,0.053628536285362856,0.2253109067428629,0.0035338811579754613,0.0,0.0,0.0,0.0,1.0,0.04670212921573095,0.06055494335499476
target_context_comm,system_token_f1,4065,0.3692458412554022,0.29217581237602136,0.004582621467810955,0.25,0.125,0.6153846153846153,0.0,1.0,0.3602639031784928,0.37822777933231166
