topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
debate,communication,chain_length,645,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,communication,target_agent_position,645,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,communication,peer_evidence,645,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,communication,target_exact,645,0.03255813953488372,0.1776148000282631,0.006993575921452208,0.0,0.0,0.0,0.0,1.0,0.018850730728837393,0.04626554834093005
debate,communication,target_token_f1,645,0.24278224223474956,0.26364060620602175,0.010380838731829233,0.125,0.0588235294117647,0.3529411764705882,0.0,1.0,0.22243579832036425,0.26312868614913487
debate,communication,target_semantic,645,0.39370724732099577,0.25039406873508063,0.009859256828268005,0.3015113472938537,0.2132007181644439,0.5345224738121033,0.0,1.0,0.3743831039375905,0.41303139070440104
debate,communication,target_positive,645,0.19534883720930232,0.39677669946918287,0.015623067284704879,0.0,0.0,0.0,0.0,1.0,0.16472762533128077,0.22597004908732388
debate,communication,system_exact,645,0.031007751937984496,0.17347313036446793,0.006830497837696137,0.0,0.0,0.0,0.0,1.0,0.017619976176100068,0.044395527699868924
debate,communication,system_token_f1,645,0.26455531884792033,0.2697117794960298,0.010619890946673986,0.135593220338983,0.0625,0.4102564102564102,0.0,1.0,0.24374033259243932,0.28537030510340133
debate,communication,system_semantic,645,0.40751160875309345,0.24434402700427021,0.009621036667754107,0.3162277638912201,0.2309401035308838,0.5773502588272095,0.0,1.0,0.3886543768842954,0.4263688406218915
debate,communication,system_positive,645,0.22015503875968992,0.4146726324158935,0.01632771895634555,0.0,0.0,0.0,0.0,1.0,0.18815270960525265,0.2521573679141272
debate,full_inference,chain_length,2855,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,full_inference,target_agent_position,2855,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,full_inference,peer_evidence,2855,0.9448336252189142,0.2034963277829748,0.003808496144092081,1.0,1.0,1.0,0.0,1.0,0.9373689727764938,0.9522982776613347
debate,full_inference,target_exact,2855,0.021015761821366025,0.14346187103560462,0.002684932886091358,0.0,0.0,0.0,0.0,1.0,0.015753293364626962,0.026278230278105087
debate,full_inference,target_token_f1,2855,0.2763171786691881,0.2475550393189095,0.004633068434051168,0.1999999999999999,0.0693664795509222,0.41350812197207176,0.0,1.0,0.2672363645384478,0.2853979927999284
debate,full_inference,target_semantic,2855,0.39498090694826454,0.23639902635384527,0.004424280232201154,0.3429971635341644,0.22669222950935358,0.5455954670906067,0.0,1.0,0.3863093176931503,0.4036524962033788
debate,full_inference,target_positive,2855,0.18178633975481612,0.38573589771319017,0.007219165549981437,0.0,0.0,0.0,0.0,1.0,0.1676367752768525,0.19593590423277973
debate,full_inference,system_exact,2855,0.025919439579684764,0.158922838605342,0.0029742896327943024,0.0,0.0,0.0,0.0,1.0,0.020089831899407933,0.031749047259961596
debate,full_inference,system_token_f1,2855,0.3506423218169858,0.2807159143224021,0.005253684373225316,0.275,0.1111111111111111,0.5882352941176471,0.0,1.0,0.3403451004454642,0.3609395431885074
debate,full_inference,system_semantic,2855,0.474736094808829,0.255372291555763,0.004779370705575218,0.4256282746791839,0.2721655368804931,0.7009991109371185,0.0,1.0,0.4653685282259016,0.4841036613917564
debate,full_inference,system_positive,2855,0.32819614711033274,0.4696388935283282,0.00878943583210916,0.0,0.0,1.0,0.0,1.0,0.3109688528793988,0.3454234413412667
debate,global_context,chain_length,645,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,global_context,target_agent_position,645,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,global_context,peer_evidence,645,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,global_context,target_exact,645,0.018604651162790697,0.13522895346082323,0.00532463484268374,0.0,0.0,0.0,0.0,1.0,0.008168366871130569,0.029040935454450828
debate,global_context,target_token_f1,645,0.2057457779164793,0.21132987678944165,0.008321105772508377,0.125,0.05,0.3076923076923077,0.0,1.0,0.18943641060236288,0.22205514523059572
debate,global_context,target_semantic,645,0.3502300309695939,0.20968066448717165,0.008256168101522158,0.3162277638912201,0.2236067950725555,0.4784713387489319,0.0,1.0,0.33404794149061046,0.3664121204485773
debate,global_context,target_positive,645,0.09922480620155039,0.2991956411477839,0.011780816865495638,0.0,0.0,0.0,0.0,1.0,0.07613440514517894,0.12231520725792183
debate,global_context,system_exact,645,0.018604651162790697,0.13522895346082323,0.00532463484268374,0.0,0.0,0.0,0.0,1.0,0.008168366871130569,0.029040935454450828
debate,global_context,system_token_f1,645,0.2057457779164793,0.21132987678944165,0.008321105772508377,0.125,0.05,0.3076923076923077,0.0,1.0,0.18943641060236288,0.22205514523059572
debate,global_context,system_semantic,645,0.3502300309695939,0.20968066448717165,0.008256168101522158,0.3162277638912201,0.2236067950725555,0.4784713387489319,0.0,1.0,0.33404794149061046,0.3664121204485773
debate,global_context,system_positive,645,0.09922480620155039,0.2991956411477839,0.011780816865495638,0.0,0.0,0.0,0.0,1.0,0.07613440514517894,0.12231520725792183
debate,none,chain_length,1525,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,none,target_agent_position,1525,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,none,peer_evidence,1525,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,none,target_exact,1525,0.043934426229508196,0.20501647306361234,0.005249933909182308,0.0,0.0,0.0,0.0,1.0,0.033644555767510874,0.05422429669150552
debate,none,target_token_f1,1525,0.2818348282047255,0.27902062489353324,0.007144986049658984,0.1739130434782608,0.0799999999999999,0.4285714285714285,0.0,1.0,0.2678306555473939,0.2958390008620571
debate,none,target_semantic,1525,0.4122711325571185,0.25809043880454263,0.006609018905009132,0.3333333432674408,0.2340822964906692,0.5659164786338806,0.0,1.0,0.3993174555033006,0.4252248096109364
debate,none,target_positive,1525,0.21639344262295082,0.4119206055283104,0.010548205822382818,0.0,0.0,0.0,0.0,1.0,0.1957189592110805,0.23706792603482113
debate,none,system_exact,1525,0.043934426229508196,0.20501647306361234,0.005249933909182308,0.0,0.0,0.0,0.0,1.0,0.033644555767510874,0.05422429669150552
debate,none,system_token_f1,1525,0.2818348282047255,0.27902062489353324,0.007144986049658984,0.1739130434782608,0.0799999999999999,0.4285714285714285,0.0,1.0,0.2678306555473939,0.2958390008620571
debate,none,system_semantic,1525,0.4122711325571185,0.25809043880454263,0.006609018905009132,0.3333333432674408,0.2340822964906692,0.5659164786338806,0.0,1.0,0.3993174555033006,0.4252248096109364
debate,none,system_positive,1525,0.21639344262295082,0.4119206055283104,0.010548205822382818,0.0,0.0,0.0,0.0,1.0,0.1957189592110805,0.23706792603482113
debate,parameter_only,chain_length,280,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,parameter_only,target_agent_position,280,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,parameter_only,peer_evidence,280,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,parameter_only,target_exact,280,0.03214285714285714,0.17669521260261137,0.01055955866175321,0.0,0.0,0.0,0.0,1.0,0.01144612216582085,0.05283959211989343
debate,parameter_only,target_token_f1,280,0.471132694172024,0.2903289970385074,0.017350476168989225,0.5283018867924528,0.1634615384615384,0.6924315619967794,0.0249999999999999,1.0,0.4371257608808051,0.5051396274632429
debate,parameter_only,target_semantic,280,0.5845737256641899,0.24274717725920647,0.014506918554768544,0.6523108184337616,0.3611575663089752,0.7890956103801727,0.091669850051403,1.0,0.5561401652968435,0.6130072860315362
debate,parameter_only,target_positive,280,0.5357142857142857,0.499615827834174,0.02985775655518458,1.0,0.0,1.0,0.0,1.0,0.47719308286612394,0.5942354885624475
debate,parameter_only,system_exact,280,0.02857142857142857,0.1668969223601573,0.009973998820736053,0.0,0.0,0.0,0.0,1.0,0.009022390882785905,0.048120466260071236
debate,parameter_only,system_token_f1,280,0.4836693186594848,0.28605528653157564,0.01709507311569433,0.5489188231123714,0.1818181818181818,0.6984126984126984,0.0249999999999999,1.0,0.4501629753527239,0.5171756619662458
debate,parameter_only,system_semantic,280,0.5916488553796496,0.23972158215605355,0.014326104663391024,0.6687867939472198,0.3611575663089752,0.7950709909200668,0.1324532330036163,1.0,0.5635696902394032,0.6197280205198961
debate,parameter_only,system_positive,280,0.5428571428571428,0.4990518403686334,0.029824051857478575,1.0,0.0,1.0,0.0,1.0,0.4844020012164848,0.6013122844978008
debate,parameter_plus_comm,chain_length,280,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,parameter_plus_comm,target_agent_position,280,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,parameter_plus_comm,peer_evidence,280,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,parameter_plus_comm,target_exact,280,0.09285714285714286,0.29075180196012884,0.017375743595913692,0.0,0.0,0.0,0.0,1.0,0.05880068540915202,0.1269136003051337
debate,parameter_plus_comm,target_token_f1,280,0.4924539477907952,0.312804260073381,0.01869363003806906,0.5283018867924528,0.1818181818181818,0.7234042553191489,0.0249999999999999,1.0,0.45581443291617985,0.5290934626654106
debate,parameter_plus_comm,target_semantic,280,0.6032451336405107,0.2617481750214368,0.01564244536133437,0.6599546074867249,0.36712281405925745,0.8084032982587814,0.091669850051403,1.0,0.5725859407322953,0.6339043265487261
debate,parameter_plus_comm,target_positive,280,0.5392857142857143,0.49934673145833847,0.02984167497083124,1.0,0.0,1.0,0.0,1.0,0.480796031342885,0.5977753972285434
debate,parameter_plus_comm,system_exact,280,0.02857142857142857,0.1668969223601573,0.009973998820736053,0.0,0.0,0.0,0.0,1.0,0.009022390882785905,0.048120466260071236
debate,parameter_plus_comm,system_token_f1,280,0.4820468183568534,0.285272901977252,0.017048316695552887,0.54066186449525,0.1818181818181818,0.6984126984126984,0.0249999999999999,1.0,0.44863211763356975,0.515461519080137
debate,parameter_plus_comm,system_semantic,280,0.5911399620984282,0.24183169636610444,0.014452208107031817,0.6599546074867249,0.36051031947135925,0.7966275215148926,0.1324532330036163,1.0,0.5628136342086458,0.6194662899882106
debate,parameter_plus_comm,system_positive,280,0.5464285714285714,0.498731108809155,0.029804884480688323,1.0,0.0,1.0,0.0,1.0,0.48801099784642227,0.6048461450107205
debate,target_context,chain_length,645,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,target_context,target_agent_position,645,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,target_context,peer_evidence,645,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,target_context,target_exact,645,0.024806201550387597,0.15565480189440156,0.006128901839339281,0.0,0.0,0.0,0.0,1.0,0.012793553945282605,0.03681884915549259
debate,target_context,target_token_f1,645,0.2445767585818011,0.25488758558288505,0.01003618888136518,0.125,0.0588235294117647,0.3703703703703703,0.0,1.0,0.22490582837432535,0.26424768878927685
debate,target_context,target_semantic,645,0.4104447952305624,0.2288347451626631,0.009010359291605161,0.3333333432674408,0.2425356209278106,0.5673665404319763,0.0,1.0,0.39278449101901625,0.4281050994421085
debate,target_context,target_positive,645,0.19069767441860466,0.3931560980876774,0.015480506244527799,0.0,0.0,0.0,0.0,1.0,0.16035588217933017,0.22103946665787916
debate,target_context,system_exact,645,0.034108527131782945,0.181648816542797,0.007152415166595606,0.0,0.0,0.0,0.0,1.0,0.02008979340525556,0.04812726085831033
debate,target_context,system_token_f1,645,0.2654892926900681,0.2658820146864585,0.010469094104559583,0.1428571428571428,0.0666666666666666,0.4444444444444445,0.0,1.0,0.2449698682451313,0.28600871713500486
debate,target_context,system_semantic,645,0.4237949340149414,0.23634298251423144,0.009305995848615729,0.3333333432674408,0.2443388849496841,0.5836899876594543,0.0,1.0,0.40555518215165454,0.44203468587822825
debate,target_context,system_positive,645,0.2310077519379845,0.4218044735596926,0.016608534927148425,0.0,0.0,0.0,0.0,1.0,0.1984550234807736,0.2635604803951954
debate,target_context_comm,chain_length,925,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,target_context_comm,target_agent_position,925,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,target_context_comm,peer_evidence,925,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debate,target_context_comm,target_exact,925,0.010810810810810811,0.10346743789961509,0.0034019884019553326,0.0,0.0,0.0,0.0,1.0,0.00414291354297836,0.01747870807864326
debate,target_context_comm,target_token_f1,925,0.2604598647293379,0.24339652461419417,0.008002828432043398,0.16,0.0597014925373134,0.4444444444444445,0.0,1.0,0.24477432100253285,0.276145408456143
debate,target_context_comm,target_semantic,925,0.4091505222062807,0.21464111473594452,0.007057356379336456,0.3475706577301025,0.2466505616903305,0.5547001957893372,0.0,1.0,0.3953181037027812,0.42298294070978015
debate,target_context_comm,target_positive,925,0.1945945945945946,0.39610245757525525,0.013023768578907042,0.0,0.0,0.0,0.0,1.0,0.1690680081799368,0.2201211810092524
debate,target_context_comm,system_exact,925,0.022702702702702703,0.14903456716917124,0.0049002263832208,0.0,0.0,0.0,0.0,1.0,0.013098258991589935,0.03230714641381547
debate,target_context_comm,system_token_f1,925,0.32679741461199635,0.2759037893407486,0.00907166071226594,0.1999999999999999,0.0869565217391304,0.5925925925925926,0.0,1.0,0.3090169596159551,0.3445778696080376
debate,target_context_comm,system_semantic,925,0.47293706352646286,0.24161658952711024,0.007944304526886223,0.4146442115306854,0.2721655368804931,0.6994640231132507,0.0,1.0,0.45736622665376586,0.48850790039915987
debate,target_context_comm,system_positive,925,0.34162162162162163,0.4745099631827609,0.015601791482709652,0.0,0.0,1.0,0.0,1.0,0.3110421103155107,0.37220113292773255
debate,target_context_memory,chain_length,2855,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
debate,target_context_memory,target_agent_position,2855,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
debate,target_context_memory,peer_evidence,2855,0.9448336252189142,0.2034963277829748,0.003808496144092081,1.0,1.0,1.0,0.0,1.0,0.9373689727764938,0.9522982776613347
debate,target_context_memory,target_exact,2855,0.026970227670753064,0.1620247808109294,0.0030323434318868104,0.0,0.0,0.0,0.0,1.0,0.021026834544254913,0.032913620797251214
debate,target_context_memory,target_token_f1,2855,0.3438444183494477,0.2835154622320523,0.005306078770388466,0.2702702702702702,0.0869565217391304,0.5858585858585857,0.0,1.0,0.33344450395948627,0.3542443327394091
debate,target_context_memory,target_semantic,2855,0.4639060590853311,0.25958016975314235,0.004858122435712675,0.4082483053207397,0.2560737729072571,0.6951637864112854,0.0,1.0,0.4543841391113343,0.47342797905932793
