benchmark,topology,intervention,metric,n,positive,rate,wilson95_low,wilson95_high
MUSE-Books,debate,communication,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,communication,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,communication,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,communication,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,debate,communication,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,debate,communication,system_positive_content,30,9,0.3,0.16664562643958933,0.4787612101166018
MUSE-Books,debate,full_inference,target_exact,70,1,0.014285714285714285,0.0025261814032348645,0.07658369703926908
MUSE-Books,debate,full_inference,target_positive,70,1,0.014285714285714285,0.0025261814032348645,0.07658369703926908
MUSE-Books,debate,full_inference,system_exact,70,3,0.04285714285714286,0.014681274851143573,0.11859861074180134
MUSE-Books,debate,full_inference,system_positive,70,7,0.1,0.04928867510614622,0.19233122478768055
MUSE-Books,debate,full_inference,target_positive_content,70,9,0.12857142857142856,0.06914021991242263,0.22664968713184502
MUSE-Books,debate,full_inference,system_positive_content,70,23,0.32857142857142857,0.22998711826717816,0.4449928388301762
MUSE-Books,debate,global_context,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,global_context,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,global_context,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,global_context,system_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,global_context,target_positive_content,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
MUSE-Books,debate,global_context,system_positive_content,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
MUSE-Books,debate,none,target_exact,70,2,0.02857142857142857,0.007870446893806289,0.09832443512391814
MUSE-Books,debate,none,target_positive,70,2,0.02857142857142857,0.007870446893806289,0.09832443512391814
MUSE-Books,debate,none,system_exact,70,2,0.02857142857142857,0.007870446893806289,0.09832443512391814
MUSE-Books,debate,none,system_positive,70,2,0.02857142857142857,0.007870446893806289,0.09832443512391814
