metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
chain_length,52655,3.997341183173488,0.2776690168382511,0.0012100619753068773,4.0,4.0,4.0,1.0,8.0,3.9949694617018863,3.9997129046450897
target_agent_position,52655,2.0053176336530245,0.1261940021174434,0.0005499445534575674,2.0,2.0,2.0,1.0,4.0,2.004239742328248,2.006395524977801
peer_evidence,52655,0.9820529864210427,0.11889276535011631,0.0005181262790045644,1.0,1.0,1.0,0.0,1.0,0.9810374589141937,0.9830685139278916
target_exact,52655,0.08246130471939987,0.27506885483193505,0.0011987306528233408,0.0,0.0,0.0,0.0,1.0,0.08011179263986612,0.08481081679893362
target_token_f1,52655,0.36333208910492043,0.30350759814840933,0.00132266468876522,0.2666666666666667,0.125,0.5757575757575757,0.0,1.0,0.3607396663149406,0.3659245118949003
target_semantic,52655,0.4665398815502263,0.28058040046749083,0.0012227495796546324,0.4000000059604645,0.2581988871097564,0.6892024278640747,0.0,1.0,0.46414329237410323,0.46893647072634936
target_positive,52655,0.2991928591776659,0.45790880571540893,0.001995534252484411,0.0,0.0,1.0,0.0,1.0,0.29528161204279646,0.30310410631253537
system_exact,52655,0.0697749501471845,0.25476977680984214,0.0011102687036724538,0.0,0.0,0.0,0.0,1.0,0.06759882348798649,0.07195107680638252
system_token_f1,52655,0.38310841784999883,0.30664478320035554,0.0013363363197742809,0.2666666666666667,0.125,0.6376811594202899,0.0,1.0,0.3804891986632412,0.38572763703675644
system_semantic,52655,0.48787614438074706,0.27960934496584167,0.001218517788323219,0.4107919037342071,0.2773500978946686,0.7211882472038269,0.0,1.0,0.48548784951563356,0.49026443924586055
system_positive,52655,0.3368341088215744,0.472632134233015,0.0020596974788752213,0.0,0.0,1.0,0.0,1.0,0.33279710176297894,0.34087111588016983
target_content_precision,52655,0.5249569468236801,0.4059585670484678,0.0017691387794324005,0.5,0.1,1.0,0.0,1.0,0.5214894348159926,0.5284244588313676
target_content_recall,52655,0.7045069650931741,0.40247094734688127,0.0017539399789566553,1.0,0.4166666666666667,1.0,0.0,1.0,0.7010692427344191,0.7079446874519292
target_content_f1,52655,0.5542710412243878,0.3905968513667142,0.0017021935068426478,0.5555555555555556,0.1538461538461538,1.0,0.0,1.0,0.5509347419509761,0.5576073404977994
system_content_precision,52655,0.5873034717346106,0.39182996060503694,0.0017075673098606605,0.6666666666666666,0.2,1.0,0.0,1.0,0.5839566398072837,0.5906503036619375
system_content_recall,52655,0.7621689091644261,0.36280927558467796,0.0015810972130512974,1.0,0.5714285714285714,1.0,0.0,1.0,0.7590699586268456,0.7652678597020067
system_content_f1,52655,0.6150132794153255,0.37039122115786893,0.0016141387966656087,0.6666666666666666,0.3076923076923077,1.0,0.0,1.0,0.6118495673738609,0.6181769914567901
target_positive_content,52655,0.33844839046624253,0.473186358389631,0.002062112748628232,0.0,0.0,1.0,0.0,1.0,0.3344066494789312,0.3424901314535539
system_positive_content,52655,0.37950811888709524,0.48526918182913853,0.002114768840276411,0.0,0.0,1.0,0.0,1.0,0.37536317196015345,0.383653065814037
