run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,target_id,target_name,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,status,raw_complete
AU002986,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,independent,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002987,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,independent,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002988,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,sequential,parameter_only,gradient_ascent,1.0,0.8,1.0,1.0,0.6,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002989,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,sequential,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,0.6,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002990,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,debate,parameter_only,gradient_ascent,1.0,0.4,0.6,1.0,0.4,0.6,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002991,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,debate,parameter_plus_comm,gradient_ascent,1.0,0.6,0.6,1.0,0.4,0.6,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002992,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,scratchpad,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002993,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,scratchpad,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002994,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,hierarchical,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002995,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,hierarchical,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002996,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,independent,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002997,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,independent,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002998,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,sequential,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,0.6,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU002999,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,sequential,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,0.4,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003000,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,debate,parameter_only,lora_grad_diff,1.0,0.4,0.4,1.0,0.4,0.4,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003001,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,debate,parameter_plus_comm,lora_grad_diff,1.0,0.4,0.4,1.0,0.4,0.4,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003002,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,scratchpad,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003003,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,scratchpad,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003004,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,hierarchical,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003005,parameter_unlearning,qwen3_4b,TOFU,tofu_forget01,hierarchical,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003006,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,independent,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003007,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,independent,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003008,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,sequential,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003009,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,sequential,parameter_plus_comm,gradient_ascent,0.4,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003010,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,debate,parameter_only,gradient_ascent,1.0,1.0,0.8,1.0,1.0,0.6,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003011,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,debate,parameter_plus_comm,gradient_ascent,0.8,0.8,0.8,1.0,1.0,0.6,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003012,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,scratchpad,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
