training_id,checkpoint_dir,complete,error_present,size_mib,model_id,model_path,benchmark,unit_id,target_id,target_name,method,max_steps,lr,retain_weight,checkpoint_every,gradient_ascent_scope,gradient_ascent_last_n_layers,resumed_from_step,completed_steps,forget_loss_first,forget_loss_last,retain_loss_first,retain_loss_last,objective_first,objective_last,lora_r,lora_alpha,lora_dropout,lora_target_modules
TR0001,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0001,True,False,2253.8266172409058,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,TOFU,tofu_forget01,forget01,,gradient_ascent,80,2e-05,1.0,10,last_n_layers,2.0,0,80,4.711349964141846,4.045429229736328,,,-4.711349964141846,-4.045429229736328,,,,
TR0002,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0002,True,False,504.661714553833,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,TOFU,tofu_forget01,forget01,,lora_grad_diff,80,2e-05,1.0,10,,,0,80,4.711349964141846,9.378800392150879,4.242981433868408,4.002252578735352,-0.4683685302734375,-5.376547813415527,16.0,32.0,0.05,all-linear
TR0003,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0003,True,False,2253.826594352722,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,TOFU,tofu_forget05,forget05,,gradient_ascent,80,2e-05,1.0,10,last_n_layers,2.0,0,80,5.056789875030518,4.506008625030518,,,-5.056789875030518,-4.506008625030518,,,,
TR0004,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0004,True,False,504.66171073913574,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,TOFU,tofu_forget05,forget05,,lora_grad_diff,80,2e-05,1.0,10,,,0,80,5.056789875030518,6.614846229553223,2.569636106491089,5.101897239685059,-2.4871537685394287,-1.512948989868164,16.0,32.0,0.05,all-linear
TR0005,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0005,True,False,2253.8265886306763,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,TOFU,tofu_forget10,forget10,,gradient_ascent,80,2e-05,1.0,10,last_n_layers,2.0,0,80,6.335564613342285,6.100249767303467,,,-6.335564613342285,-6.100249767303467,,,,
TR0006,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0006,True,False,504.6617250442505,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,TOFU,tofu_forget10,forget10,,lora_grad_diff,80,2e-05,1.0,10,,,0,80,6.335564613342285,10.236981391906738,3.4878928661346436,2.6778571605682373,-2.8476717472076416,-7.559123992919922,16.0,32.0,0.05,all-linear
TR0007,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0007,True,False,2253.8266258239746,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,MUSE-News,muse_news,news,,gradient_ascent,80,2e-05,1.0,10,last_n_layers,2.0,0,80,11.854347229003906,9.877739906311035,,,-11.854347229003906,-9.877739906311035,,,,
TR0008,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0008,True,False,504.6617479324341,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,MUSE-News,muse_news,news,,lora_grad_diff,80,2e-05,1.0,10,,,0,80,11.854347229003906,23.96046257019043,8.112567901611328,8.127758026123047,-3.741779327392578,-15.832704544067383,16.0,32.0,0.05,all-linear
TR0009,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0009,True,False,2253.826636314392,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,RWKU,rwku_001,1,,gradient_ascent,80,2e-05,1.0,10,last_n_layers,2.0,0,80,10.838905334472656,11.110588073730469,,,-10.838905334472656,-11.110588073730469,,,,
TR0010,/home/tahiti/AgentUnlearn/outputs/full_plan/checkpoints/TR0010,True,False,504.66173934936523,qwen3_4b,/home/tahiti/AgentUnlearn/models/Qwen3-4B,RWKU,rwku_001,1,,lora_grad_diff,80,2e-05,1.0,10,,,0,80,10.838905334472656,19.83465003967285,8.873505592346191,1.2673640251159668,-1.9653997421264648,-18.567285537719727,16.0,32.0,0.05,all-linear
