model_id,benchmark,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,MUSE-Books,debate,communication,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,communication,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,communication,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,communication,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,communication,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,communication,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,communication,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,communication,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,communication,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,full_inference,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,full_inference,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,full_inference,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,full_inference,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,full_inference,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,full_inference,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,full_inference,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,full_inference,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,full_inference,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,global_context,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,global_context,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,global_context,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,global_context,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,global_context,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,global_context,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,global_context,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,global_context,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,global_context,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,none,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,none,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,none,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,none,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,none,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,none,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,none,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,none,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,none,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_context,drr_target,1,0.6,,,0.6,0.6,0.6,0.6,0.6,,
mistral_7b,MUSE-Books,debate,target_context,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context,drr_system,1,0.8,,,0.8,0.8,0.8,0.8,0.8,,
mistral_7b,MUSE-Books,debate,target_context,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,target_context,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,target_context,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,target_context,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_context,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,drr_system,1,0.8,,,0.8,0.8,0.8,0.8,0.8,,
mistral_7b,MUSE-Books,debate,target_context_comm,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_context_comm,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,drr_target,1,0.8,,,0.8,0.8,0.8,0.8,0.8,,
mistral_7b,MUSE-Books,debate,target_context_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,drr_system,1,0.8,,,0.8,0.8,0.8,0.8,0.8,,
mistral_7b,MUSE-Books,debate,target_context_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_context_memory,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_memory,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,debate,target_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,debate,target_memory,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,debate,target_memory,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,debate,target_memory,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,debate,target_memory_comm,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
