intervention,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,chain_length,target_agent_position,peer_evidence,raw_complete
communication,0.40355555555555556,0.26666666666666666,0.3813333333333333,0.40622222222222226,0.27487179487179486,0.35733333333333334,14.333333333333334,4.0,2.0,1.0,1.0
full_inference,0.057692307692307696,0.19065693430656933,0.5324390243902439,0.3293269230769231,0.3486131386861314,0.4968292682926829,14.044471153846153,3.9939903846153846,2.012019230769231,0.9594350961538461,1.0
global_context,0.10311111111111111,0.11487179487179486,0.4311111111111111,0.09955555555555555,0.11589743589743591,0.4071111111111111,14.333333333333334,4.0,2.0,1.0,1.0
none,0.41565995525727073,0.29336870026525197,0.4220689655172414,0.3995525727069351,0.2880636604774536,0.38298850574712645,14.082774049217003,4.0,2.0,1.0,1.0
parameter_only,0.632,0.7150000000000001,0.608,0.644,0.7025,0.624,14.0,4.0,2.0,1.0,1.0
parameter_plus_comm,0.606,0.7275,0.608,0.6459999999999999,0.7,0.624,14.0,4.0,2.0,1.0,1.0
target_context,0.24444444444444444,0.20512820512820512,0.42400000000000004,0.3208888888888889,0.2276923076923077,0.3768888888888889,14.333333333333334,4.0,2.0,1.0,1.0
target_context_comm,0.14385964912280702,0.20164609053497942,0.45473684210526316,0.37333333333333335,0.3160493827160494,0.42526315789473684,14.263157894736842,4.0,2.0,1.0,1.0
target_context_memory,0.27884615384615385,0.301021897810219,0.5304878048780488,0.35264423076923074,0.35854014598540146,0.49658536585365853,14.044471153846153,3.9939903846153846,2.012019230769231,0.9594350961538461,1.0
target_memory,0.4053333333333333,0.2635897435897436,0.3813333333333333,0.4053333333333333,0.26153846153846155,0.3511111111111111,14.333333333333334,4.0,2.0,1.0,1.0
target_memory_comm,0.392,0.2564102564102564,0.38755555555555554,0.40622222222222226,0.2594871794871795,0.3528888888888889,14.333333333333334,4.0,2.0,1.0,1.0
