topology,intervention,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,chain_length,target_agent_position,peer_evidence,raw_complete
debate,communication,0.27111111111111114,0.19999999999999998,0.2177777777777778,0.3066666666666667,0.2153846153846154,0.2222222222222222,14.333333333333334,4.0,2.0,1.0,1.0
debate,full_inference,0.041176470588235294,0.19520958083832335,0.38,0.346078431372549,0.3317365269461078,0.405,13.995098039215685,4.0,2.0,0.9448529411764706,1.0
debate,global_context,0.04,0.08717948717948718,0.24000000000000002,0.04,0.08717948717948718,0.24000000000000002,14.333333333333334,4.0,2.0,1.0,1.0
debate,none,0.30825688073394497,0.2175824175824176,0.2361904761904762,0.30825688073394497,0.2175824175824176,0.2361904761904762,13.990825688073395,4.0,2.0,1.0,1.0
debate,parameter_only,0.5900000000000001,0.6125,0.5,0.62,0.6,0.48,14.0,4.0,2.0,1.0,1.0
debate,parameter_plus_comm,0.5700000000000001,0.6625,0.5,0.62,0.5875,0.48,14.0,4.0,2.0,1.0,1.0
debate,target_context,0.24888888888888888,0.1794871794871795,0.2177777777777778,0.2977777777777778,0.19487179487179487,0.2577777777777778,14.333333333333334,4.0,2.0,1.0,1.0
debate,target_context_comm,0.16,0.21454545454545457,0.30153846153846153,0.4,0.3090909090909091,0.3630769230769231,14.23076923076923,4.0,2.0,1.0,1.0
debate,target_context_memory,0.3343137254901961,0.3341317365269461,0.373,0.3715686274509804,0.3413173652694611,0.4,13.995098039215685,4.0,2.0,0.9448529411764706,1.0
debate,target_memory,0.29333333333333333,0.19487179487179487,0.2222222222222222,0.3377777777777778,0.21025641025641023,0.23555555555555555,14.333333333333334,4.0,2.0,1.0,1.0
debate,target_memory_comm,0.25333333333333335,0.18974358974358976,0.22666666666666666,0.3333333333333333,0.20512820512820512,0.24444444444444444,14.333333333333334,4.0,2.0,1.0,1.0
hierarchical,communication,0.4177777777777778,0.2564102564102564,0.39111111111111113,0.39111111111111113,0.24102564102564103,0.32,14.333333333333334,4.0,2.0,1.0,1.0
hierarchical,full_inference,0.06727272727272728,0.06739130434782609,0.5690909090909091,0.48,0.46304347826086956,0.4672727272727273,14.181818181818182,4.0,2.0,1.0,1.0
hierarchical,global_context,0.10666666666666666,0.10256410256410256,0.4888888888888889,0.09333333333333334,0.10256410256410256,0.38666666666666666,14.333333333333334,4.0,2.0,1.0,1.0
