contrast,A,B,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,bootstrap95_low,bootstrap95_high,wilcoxon_p,wilcoxon_p_holm18
local_suppression,none,target_context_memory,drr_target,225,84.35555555555555,64.17777777777778,-20.177777777777777,-25.157777777777778,-15.377777777777776,7.127424807529781e-12,1.2116622172800627e-10
local_suppression,none,target_context_memory,irr_target,195,73.74358974358975,61.435897435897445,-12.307692307692308,-18.464102564102564,-6.051282051282052,0.00017026736614587768,0.0018729410276046546
local_suppression,none,target_context_memory,retention_target,225,76.44444444444444,81.06666666666665,4.622222222222223,1.4222222222222223,7.822222222222224,0.001558599671960124,0.012468797375680992
local_suppression,none,target_context_memory,drr_system,225,87.46666666666667,75.55555555555556,-11.911111111111111,-16.444444444444446,-7.466666666666668,1.165350926192988e-06,1.5149562040508843e-05
local_suppression,none,target_context_memory,irr_system,195,76.82051282051283,69.02564102564104,-7.794871794871794,-12.205128205128203,-3.4871794871794877,0.0007636663313233101,0.0068729969819097915
local_suppression,none,target_context_memory,retention_system,225,82.57777777777778,85.6,3.0222222222222217,0.3555555555555557,5.777777777777778,0.02410368206634783,0.144622092398087
communication_defense,target_context_memory,full_inference,drr_target,225,64.17777777777778,46.84444444444445,-17.333333333333336,-22.133333333333333,-12.70888888888892,2.1692565430479929e-10,3.4708104688767886e-09
communication_defense,target_context_memory,full_inference,irr_target,195,61.435897435897445,54.46153846153846,-6.9743589743589745,-10.051282051282053,-4.205128205128205,9.976512188882236e-06,0.00011971814626658684
communication_defense,target_context_memory,full_inference,retention_target,225,81.06666666666665,80.44444444444444,-0.6222222222222223,-1.6000000000000003,0.3555555555555555,0.28585051315425625,1.0
communication_defense,target_context_memory,full_inference,drr_system,225,75.55555555555556,74.93333333333334,-0.6222222222222221,-2.488888888888889,1.0666666666666669,0.9719058803018934,1.0
communication_defense,target_context_memory,full_inference,irr_system,195,69.02564102564104,68.71794871794872,-0.30769230769230754,-1.538461538461538,0.9230769230769234,0.8742208028604828,1.0
communication_defense,target_context_memory,full_inference,retention_system,225,85.6,85.42222222222222,-0.17777777777777778,-0.7111111111111111,0.2666666666666667,0.49624247444426295,1.0
total_defense,none,full_inference,drr_target,225,84.35555555555555,46.84444444444445,-37.511111111111106,-43.2,-31.733333333333334,1.6787425497304468e-21,3.0217365895148043e-20
total_defense,none,full_inference,irr_target,195,73.74358974358975,54.46153846153846,-19.28205128205128,-25.743589743589745,-12.71794871794872,1.0933496609010685e-07,1.6400244913516027e-06
total_defense,none,full_inference,retention_target,225,76.44444444444444,80.44444444444444,4.0,0.711111111111111,7.288888888888888,0.00484686046665915,0.03392802326661405
total_defense,none,full_inference,drr_system,225,87.46666666666667,74.93333333333334,-12.533333333333333,-17.15555555555555,-8.088888888888889,8.455861784233124e-07,1.1838206497926374e-05
total_defense,none,full_inference,irr_system,195,76.82051282051283,68.71794871794872,-8.102564102564102,-12.512820512820513,-3.794871794871795,0.0005848828387975034,0.0058488283879750335
total_defense,none,full_inference,retention_system,225,82.57777777777778,85.42222222222222,2.8444444444444446,0.17777777777777734,5.688888888888889,0.046907091777480245,0.23453545888740124
