block,parameter_method,model_id,benchmark,topology,intervention,drr_target_mean,drr_target_std,drr_target_count,irr_target_mean,irr_target_std,irr_target_count,retention_target_mean,retention_target_std,retention_target_count,drr_system_mean,drr_system_std,drr_system_count,irr_system_mean,irr_system_std,irr_system_count,retention_system_mean,retention_system_std,retention_system_count
ablation_chain_length,none,qwen3_8b,MUSE-News,sequential,full_inference,0.0,0.0,3,,,0,0.0,0.0,3,0.3333333333333333,0.5773502691896258,3,,,0,1.0,0.0,3
ablation_chain_length,none,qwen3_8b,MUSE-News,sequential,target_context_memory,0.6666666666666666,0.5773502691896258,3,,,0,0.0,0.0,3,0.6666666666666666,0.5773502691896258,3,,,0,1.0,0.0,3
ablation_chain_length,none,qwen3_8b,RWKU,sequential,full_inference,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_chain_length,none,qwen3_8b,RWKU,sequential,target_context_memory,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_chain_length,none,qwen3_8b,TOFU,sequential,full_inference,0.2666666666666667,0.4,9,0.5777777777777778,0.5044248650140518,9,1.0,0.0,9,0.3333333333333333,0.5,9,0.6666666666666666,0.5,9,1.0,0.0,9
ablation_chain_length,none,qwen3_8b,TOFU,sequential,target_context_memory,0.7111111111111111,0.41365578819969523,9,0.8,0.39999999999999997,9,1.0,0.0,9,0.6222222222222222,0.4841946348777983,9,0.7777777777777778,0.44095855184409843,9,1.0,0.0,9
ablation_comm_threshold,none,qwen3_8b,MUSE-News,debate,target_context_comm,0.25,0.5,4,,,0,0.8,0.0,4,1.0,0.0,4,,,0,0.4,0.0,4
ablation_comm_threshold,none,qwen3_8b,MUSE-News,scratchpad,target_context_comm,0.7,0.2,4,,,0,0.6,0.0,4,1.0,0.0,4,,,0,1.0,0.0,4
ablation_comm_threshold,none,qwen3_8b,MUSE-News,sequential,target_context_comm,0.25,0.5,4,,,0,0.0,0.0,4,1.0,0.0,4,,,0,1.0,0.0,4
ablation_comm_threshold,none,qwen3_8b,RWKU,debate,target_context_comm,1.0,0.0,4,0.6,0.0,4,0.6,0.0,4,0.8,0.0,4,0.8,0.0,4,1.0,0.0,4
ablation_comm_threshold,none,qwen3_8b,RWKU,scratchpad,target_context_comm,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4
ablation_comm_threshold,none,qwen3_8b,RWKU,sequential,target_context_comm,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4,1.0,0.0,4
ablation_comm_threshold,none,qwen3_8b,TOFU,debate,target_context_comm,0.8333333333333334,0.38924947208076144,12,0.7666666666666666,0.3892494720807615,12,1.0,0.0,12,1.0,0.0,12,0.9,0.1595448070434931,12,1.0,0.0,12
ablation_comm_threshold,none,qwen3_8b,TOFU,scratchpad,target_context_comm,0.85,0.2969542358374741,12,0.8166666666666668,0.34597249846912637,12,1.0,0.0,12,0.9666666666666667,0.07784989441615228,12,1.0,0.0,12,1.0,0.0,12
ablation_comm_threshold,none,qwen3_8b,TOFU,sequential,target_context_comm,0.6666666666666666,0.38455011101128017,12,0.8333333333333334,0.3892494720807615,12,1.0,0.0,12,0.9833333333333334,0.05773502691896257,12,1.0,0.0,12,1.0,0.0,12
ablation_debate_rounds,none,qwen3_8b,MUSE-News,debate,full_inference,0.0,0.0,3,,,0,0.26666666666666666,0.30550504633038933,3,1.0,0.0,3,,,0,0.5333333333333333,0.5033222956847166,3
ablation_debate_rounds,none,qwen3_8b,MUSE-News,debate,target_context_memory,0.6666666666666666,0.5773502691896258,3,,,0,0.20000000000000004,0.2,3,1.0,0.0,3,,,0,0.4666666666666666,0.5033222956847166,3
ablation_debate_rounds,none,qwen3_8b,RWKU,debate,full_inference,0.8666666666666667,0.11547005383792512,3,0.39999999999999997,0.34641016151377546,3,0.9333333333333332,0.11547005383792512,3,0.6666666666666666,0.11547005383792516,3,1.0,0.0,3,0.7999999999999999,0.34641016151377546,3
ablation_debate_rounds,none,qwen3_8b,RWKU,debate,target_context_memory,0.9333333333333332,0.11547005383792512,3,0.39999999999999997,0.34641016151377546,3,0.9333333333333332,0.11547005383792512,3,0.6666666666666666,0.11547005383792516,3,1.0,0.0,3,0.7999999999999999,0.34641016151377546,3
ablation_debate_rounds,none,qwen3_8b,TOFU,debate,full_inference,0.3111111111111111,0.31797973380564853,9,0.5777777777777778,0.5044248650140518,9,1.0,0.0,9,0.9777777777777779,0.06666666666666667,9,0.8666666666666667,0.264575131106459,9,1.0,0.0,9
