contrast,A,B,metric,n_pairs,mean_A,mean_B,delta,ci95_low,ci95_high,wilcoxon_p,model_id
local_suppression,none,target_context_memory,drr_target,75,0.7919999999999999,0.6426666666666666,-0.14933333333333332,-0.22933333333333333,-0.07466666666666666,0.002525143353278562,mistral_7b
local_suppression,none,target_context_memory,irr_target,65,0.7292307692307692,0.7261538461538461,-0.003076923076923083,-0.1292307692307692,0.11999999999999998,0.9225246016391122,mistral_7b
local_suppression,none,target_context_memory,retention_target,75,0.7333333333333333,0.736,0.002666666666666669,-0.06666666666666667,0.072,0.5248289012514552,mistral_7b
local_suppression,none,target_context_memory,drr_system,75,0.8453333333333333,0.7839999999999999,-0.06133333333333333,-0.13866666666666666,0.008000000000000002,0.09158565034693515,mistral_7b
local_suppression,none,target_context_memory,irr_system,65,0.7569230769230769,0.7476923076923077,-0.009230769230769225,-0.08923076923076921,0.0676923076923077,0.9849222966103836,mistral_7b
local_suppression,none,target_context_memory,retention_system,75,0.8293333333333334,0.8293333333333334,0.0,-0.05599999999999999,0.05599999999999999,1.0,mistral_7b
communication_defense,target_context_memory,full_inference,drr_target,75,0.6426666666666666,0.5493333333333332,-0.09333333333333335,-0.16799999999999998,-0.021333333333333333,0.01820414515626887,mistral_7b
communication_defense,target_context_memory,full_inference,irr_target,65,0.7261538461538461,0.6523076923076923,-0.07384615384615385,-0.1323076923076923,-0.024615384615384615,0.00894917832304572,mistral_7b
communication_defense,target_context_memory,full_inference,retention_target,75,0.736,0.7173333333333333,-0.01866666666666667,-0.04533333333333334,0.002666666666666664,0.07961580146011343,mistral_7b
communication_defense,target_context_memory,full_inference,drr_system,75,0.7839999999999999,0.7946666666666666,0.010666666666666668,-0.010666666666666665,0.04,0.38893531091236555,mistral_7b
communication_defense,target_context_memory,full_inference,irr_system,65,0.7476923076923077,0.7476923076923077,1.708035422500241e-18,-0.03076923076923077,0.03384615384615385,0.9437681928745766,mistral_7b
