contrast,A,B,metric,n_pairs,mean_A,mean_B,delta,ci95_low,ci95_high,wilcoxon_p,topology
local_suppression,none,target_context_memory,drr_target,45,0.6755555555555556,0.6355555555555555,-0.039999999999999994,-0.12444444444444441,0.03555555555555557,0.4831744301807376,debate
local_suppression,none,target_context_memory,irr_target,39,0.6615384615384615,0.6871794871794872,0.025641025641025633,-0.051282051282051294,0.10769230769230767,0.6650461566280936,debate
local_suppression,none,target_context_memory,retention_target,45,0.6444444444444445,0.7022222222222223,0.05777777777777779,-0.017777777777777774,0.13777777777777778,0.16838897480584036,debate
local_suppression,none,target_context_memory,drr_system,45,0.6888888888888889,0.6533333333333334,-0.035555555555555556,-0.13777777777777775,0.06222222222222224,0.6362126396867666,debate
local_suppression,none,target_context_memory,irr_system,39,0.5846153846153848,0.5897435897435899,0.00512820512820513,-0.06666666666666665,0.08205128205128205,0.8864851521105424,debate
local_suppression,none,target_context_memory,retention_system,45,0.6355555555555555,0.7022222222222223,0.06666666666666668,-0.013333333333333332,0.14666666666666667,0.13113050286965086,debate
communication_defense,target_context_memory,full_inference,drr_target,45,0.6355555555555555,0.3866666666666667,-0.2488888888888889,-0.3644444444444445,-0.13777777777777775,0.0008730494399584567,debate
communication_defense,target_context_memory,full_inference,irr_target,39,0.6871794871794872,0.594871794871795,-0.0923076923076923,-0.15897435897435896,-0.030769230769230774,0.015122560156789314,debate
communication_defense,target_context_memory,full_inference,retention_target,45,0.7022222222222223,0.6711111111111111,-0.03111111111111111,-0.08,0.013333333333333336,0.3303547936823522,debate
communication_defense,target_context_memory,full_inference,drr_system,45,0.6533333333333334,0.6622222222222223,0.008888888888888898,-0.02666666666666666,0.05777777777777778,0.3652760444092834,debate
communication_defense,target_context_memory,full_inference,irr_system,39,0.5897435897435899,0.5897435897435899,5.693451408334136e-18,-0.04102564102564102,0.041025641025641026,0.6709392540844913,debate
communication_defense,target_context_memory,full_inference,retention_system,45,0.7022222222222223,0.6933333333333334,-0.008888888888888889,-0.035555555555555556,0.013333333333333336,0.49624247444426295,debate
total_defense,none,full_inference,drr_target,45,0.6755555555555556,0.3866666666666667,-0.28888888888888886,-0.4133333333333334,-0.16444444444444445,0.0002852118252746215,debate
total_defense,none,full_inference,irr_target,39,0.6615384615384615,0.594871794871795,-0.06666666666666667,-0.1692307692307692,0.030769230769230774,0.20743917144800927,debate
total_defense,none,full_inference,retention_target,45,0.6444444444444445,0.6711111111111111,0.026666666666666665,-0.053333333333333344,0.1111111111111111,0.44276692690829955,debate
total_defense,none,full_inference,drr_system,45,0.6888888888888889,0.6622222222222223,-0.02666666666666665,-0.12000000000000001,0.06666666666666668,0.745164055263627,debate
total_defense,none,full_inference,irr_system,39,0.5846153846153848,0.5897435897435899,0.005128205128205136,-0.06153846153846155,0.08205128205128205,0.934986098432475,debate
total_defense,none,full_inference,retention_system,45,0.6355555555555555,0.6933333333333334,0.05777777777777778,-0.03111111111111111,0.14666666666666667,0.2654697908890754,debate
local_suppression,none,target_context_memory,drr_target,45,0.8711111111111111,0.42666666666666664,-0.4444444444444444,-0.5777777777777777,-0.3111111111111111,5.025074507913338e-06,hierarchical
local_suppression,none,target_context_memory,irr_target,39,0.7487179487179487,0.41025641025641024,-0.3384615384615385,-0.5128205128205128,-0.14871794871794874,0.0021341187518761702,hierarchical
local_suppression,none,target_context_memory,retention_target,45,0.7777777777777778,0.8222222222222222,0.044444444444444446,-0.044444444444444446,0.13777777777777778,0.19385961355764014,hierarchical
local_suppression,none,target_context_memory,drr_system,45,0.8977777777777778,0.8622222222222221,-0.035555555555555556,-0.09333333333333334,0.00888888888888889,0.2059032107320684,hierarchical
local_suppression,none,target_context_memory,irr_system,39,0.7999999999999999,0.7948717948717948,-0.005128205128205127,-0.04615384615384615,0.041025641025641026,0.6662276454096188,hierarchical
local_suppression,none,target_context_memory,retention_system,45,0.8444444444444444,0.8622222222222221,0.017777777777777774,-0.031111111111111114,0.07555555555555557,0.5176341185833455,hierarchical
communication_defense,target_context_memory,full_inference,drr_target,45,0.42666666666666664,0.42666666666666664,0.0,0.0,0.0,1.0,hierarchical
communication_defense,target_context_memory,full_inference,irr_target,39,0.41025641025641024,0.41025641025641024,0.0,0.0,0.0,1.0,hierarchical
communication_defense,target_context_memory,full_inference,retention_target,45,0.8222222222222222,0.8222222222222222,0.0,0.0,0.0,1.0,hierarchical
communication_defense,target_context_memory,full_inference,drr_system,45,0.8622222222222221,0.8622222222222221,0.0,0.0,0.0,1.0,hierarchical
communication_defense,target_context_memory,full_inference,irr_system,39,0.7948717948717948,0.7948717948717948,0.0,0.0,0.0,1.0,hierarchical
communication_defense,target_context_memory,full_inference,retention_system,45,0.8622222222222221,0.8622222222222221,0.0,0.0,0.0,1.0,hierarchical
total_defense,none,full_inference,drr_target,45,0.8711111111111111,0.42666666666666664,-0.4444444444444444,-0.5777777777777777,-0.3111111111111111,5.025074507913338e-06,hierarchical
total_defense,none,full_inference,irr_target,39,0.7487179487179487,0.41025641025641024,-0.3384615384615385,-0.5128205128205128,-0.14871794871794874,0.0021341187518761702,hierarchical
total_defense,none,full_inference,retention_target,45,0.7777777777777778,0.8222222222222222,0.044444444444444446,-0.044444444444444446,0.13777777777777778,0.19385961355764014,hierarchical
total_defense,none,full_inference,drr_system,45,0.8977777777777778,0.8622222222222221,-0.035555555555555556,-0.09333333333333334,0.00888888888888889,0.2059032107320684,hierarchical
total_defense,none,full_inference,irr_system,39,0.7999999999999999,0.7948717948717948,-0.005128205128205127,-0.04615384615384615,0.041025641025641026,0.6662276454096188,hierarchical
total_defense,none,full_inference,retention_system,45,0.8444444444444444,0.8622222222222221,0.017777777777777774,-0.031111111111111114,0.07555555555555557,0.5176341185833455,hierarchical
local_suppression,none,target_context_memory,drr_target,45,0.8977777777777778,0.46222222222222226,-0.4355555555555556,-0.5644444444444444,-0.3022222222222223,4.898496659422063e-06,independent
local_suppression,none,target_context_memory,irr_target,39,0.7692307692307693,0.42051282051282046,-0.3487179487179487,-0.517948717948718,-0.1692307692307692,0.0017346167704696057,independent
local_suppression,none,target_context_memory,retention_target,45,0.8044444444444445,0.84,0.035555555555555556,-0.04888888888888889,0.11555555555555556,0.3490962446260978,independent
local_suppression,none,target_context_memory,drr_system,45,0.9333333333333333,0.4222222222222222,-0.5111111111111111,-0.6444444444444445,-0.3733333333333333,2.916180871358015e-06,independent
local_suppression,none,target_context_memory,irr_system,39,0.8205128205128205,0.4256410256410257,-0.39487179487179486,-0.5589743589743589,-0.23076923076923078,0.00018884879657111477,independent
local_suppression,none,target_context_memory,retention_system,45,0.8755555555555555,0.9022222222222223,0.02666666666666666,-0.05777777777777777,0.10666666666666669,0.5929800980174267,independent
communication_defense,target_context_memory,full_inference,drr_target,45,0.46222222222222226,0.46222222222222226,0.0,0.0,0.0,1.0,independent
communication_defense,target_context_memory,full_inference,irr_target,39,0.42051282051282046,0.42051282051282046,0.0,0.0,0.0,1.0,independent
communication_defense,target_context_memory,full_inference,retention_target,45,0.84,0.84,0.0,0.0,0.0,1.0,independent
communication_defense,target_context_memory,full_inference,drr_system,45,0.4222222222222222,0.4222222222222222,0.0,0.0,0.0,1.0,independent
communication_defense,target_context_memory,full_inference,irr_system,39,0.4256410256410257,0.4256410256410257,0.0,0.0,0.0,1.0,independent
communication_defense,target_context_memory,full_inference,retention_system,45,0.9022222222222223,0.9022222222222223,0.0,0.0,0.0,1.0,independent
total_defense,none,full_inference,drr_target,45,0.8977777777777778,0.46222222222222226,-0.4355555555555556,-0.5644444444444444,-0.3022222222222223,4.898496659422063e-06,independent
total_defense,none,full_inference,irr_target,39,0.7692307692307693,0.42051282051282046,-0.3487179487179487,-0.517948717948718,-0.1692307692307692,0.0017346167704696057,independent
total_defense,none,full_inference,retention_target,45,0.8044444444444445,0.84,0.035555555555555556,-0.04888888888888889,0.11555555555555556,0.3490962446260978,independent
total_defense,none,full_inference,drr_system,45,0.9333333333333333,0.4222222222222222,-0.5111111111111111,-0.6444444444444445,-0.3733333333333333,2.916180871358015e-06,independent
total_defense,none,full_inference,irr_system,39,0.8205128205128205,0.4256410256410257,-0.39487179487179486,-0.5589743589743589,-0.23076923076923078,0.00018884879657111477,independent
total_defense,none,full_inference,retention_system,45,0.8755555555555555,0.9022222222222223,0.02666666666666666,-0.05777777777777777,0.10666666666666669,0.5929800980174267,independent
local_suppression,none,target_context_memory,drr_target,45,0.8844444444444444,0.8622222222222221,-0.022222222222222223,-0.06666666666666668,0.008888888888888887,0.28504940740261275,scratchpad
local_suppression,none,target_context_memory,irr_target,39,0.7589743589743589,0.7999999999999999,0.041025641025641026,-0.015384615384615382,0.11794871794871795,0.41636567790816525,scratchpad
local_suppression,none,target_context_memory,retention_target,45,0.8311111111111111,0.88,0.048888888888888885,0.004444444444444444,0.1111111111111111,0.07154597258900632,scratchpad
local_suppression,none,target_context_memory,drr_system,45,0.9333333333333333,0.928888888888889,-0.004444444444444446,-0.026666666666666672,0.01333333333333333,0.6547208460185769,scratchpad
local_suppression,none,target_context_memory,irr_system,39,0.8153846153846154,0.8307692307692307,0.015384615384615384,-0.010256410256410255,0.05141025641025454,0.4142161782425252,scratchpad
local_suppression,none,target_context_memory,retention_system,45,0.9111111111111111,0.9244444444444445,0.013333333333333332,-0.008888888888888887,0.044444444444444446,0.4142161782425252,scratchpad
communication_defense,target_context_memory,full_inference,drr_target,45,0.8622222222222221,0.5466666666666667,-0.3155555555555556,-0.4444444444444444,-0.1911111111111111,0.00012953478904280635,scratchpad
communication_defense,target_context_memory,full_inference,irr_target,39,0.7999999999999999,0.6717948717948717,-0.1282051282051282,-0.2153846153846154,-0.04615384615384616,0.0073370242776371565,scratchpad
communication_defense,target_context_memory,full_inference,retention_target,45,0.88,0.8755555555555556,-0.0044444444444444444,-0.013333333333333336,0.0,0.31731050786291415,scratchpad
communication_defense,target_context_memory,full_inference,drr_system,45,0.928888888888889,0.9022222222222221,-0.026666666666666672,-0.08888888888888888,0.02222222222222222,0.44277087398776793,scratchpad
communication_defense,target_context_memory,full_inference,irr_system,39,0.8307692307692307,0.8205128205128205,-0.010256410256410255,-0.025641025641025637,0.0,0.15729920705028502,scratchpad
