contrast,A,B,metric,n_pairs,mean_A,mean_B,delta,ci95_low,ci95_high,wilcoxon_p,p_holm18,significant_holm05
local_suppression,none,target_context_memory,drr_target,225,84.35555555555555,64.17777777777778,-20.177777777777777,-25.15555555555556,-15.377777777777776,7.127424807529781e-12,1.2116622172800627e-10,True
local_suppression,none,target_context_memory,irr_target,195,73.74358974358975,61.435897435897445,-12.307692307692308,-18.461538461538463,-6.153846153846154,0.00017026736614587768,0.0018729410276046546,True
local_suppression,none,target_context_memory,retention_target,225,76.44444444444444,81.06666666666665,4.622222222222223,1.4222222222222223,7.822222222222224,0.001558599671960124,0.012468797375680992,True
local_suppression,none,target_context_memory,drr_system,225,87.46666666666667,75.55555555555556,-11.911111111111111,-16.444444444444446,-7.555555555555555,1.165350926192988e-06,1.5149562040508843e-05,True
local_suppression,none,target_context_memory,irr_system,195,76.82051282051283,69.02564102564104,-7.794871794871794,-12.205128205128206,-3.5897435897435894,0.0007636663313233101,0.0068729969819097915,True
local_suppression,none,target_context_memory,retention_system,225,82.57777777777778,85.6,3.0222222222222217,0.35555555555555557,5.777777777777778,0.02410368206634783,0.144622092398087,False
communication_defense,target_context_memory,full_inference,drr_target,225,64.17777777777778,46.84444444444445,-17.333333333333336,-22.133333333333333,-12.711111111111112,2.1692565430479929e-10,3.4708104688767886e-09,True
communication_defense,target_context_memory,full_inference,irr_target,195,61.435897435897445,54.46153846153846,-6.9743589743589745,-10.05128205128205,-4.205128205128205,9.976512188882236e-06,0.00011971814626658684,True
communication_defense,target_context_memory,full_inference,retention_target,225,81.06666666666665,80.44444444444444,-0.6222222222222223,-1.6888888888888887,0.2666666666666667,0.28585051315425625,1.0,False
communication_defense,target_context_memory,full_inference,drr_system,225,75.55555555555556,74.93333333333334,-0.6222222222222221,-2.488888888888889,1.0666666666666669,0.9719058803018934,1.0,False
communication_defense,target_context_memory,full_inference,irr_system,195,69.02564102564104,68.71794871794872,-0.30769230769230754,-1.538461538461538,0.9230769230769235,0.8742208028604828,1.0,False
communication_defense,target_context_memory,full_inference,retention_system,225,85.6,85.42222222222222,-0.17777777777777778,-0.7111111111111111,0.2666666666666667,0.49624247444426295,1.0,False
total_defense,none,full_inference,drr_target,225,84.35555555555555,46.84444444444445,-37.511111111111106,-43.28888888888889,-31.82222222222222,1.6787425497304468e-21,3.0217365895148043e-20,True
total_defense,none,full_inference,irr_target,195,73.74358974358975,54.46153846153846,-19.28205128205128,-25.743589743589745,-12.82051282051282,1.0933496609010685e-07,1.6400244913516027e-06,True
total_defense,none,full_inference,retention_target,225,76.44444444444444,80.44444444444444,4.0,0.7111111111111112,7.28888888888889,0.00484686046665915,0.03392802326661405,True
total_defense,none,full_inference,drr_system,225,87.46666666666667,74.93333333333334,-12.533333333333333,-17.244444444444444,-8.088888888888889,8.455861784233124e-07,1.1838206497926374e-05,True
total_defense,none,full_inference,irr_system,195,76.82051282051283,68.71794871794872,-8.102564102564102,-12.512820512820513,-3.897435897435897,0.0005848828387975034,0.0058488283879750335,True
total_defense,none,full_inference,retention_system,225,82.57777777777778,85.42222222222222,2.8444444444444446,0.08888888888888888,5.688888888888889,0.046907091777480245,0.23453545888740124,False
