contrast,metric,n_paired_probes,A_positive,B_positive,A_rate,B_rate,delta,A_wilson95_low,A_wilson95_high,B_wilson95_low,B_wilson95_high,A1_B0,A0_B1,mcnemar_exact_p,mcnemar_holm18
local_suppression,drr_target,1125,949,722,0.8435555555555555,0.6417777777777778,-0.20177777777777772,0.821162374137772,0.8636104909619529,0.6133206467164214,0.6692699664359878,258,31,1.0150946825516907e-45,1.7256609603378744e-44
local_suppression,irr_target,975,719,599,0.7374358974358974,0.6143589743589744,-0.12307692307692308,0.7089224652583958,0.7640856974299944,0.5834142582108115,0.6444060879652382,189,69,4.396453596826765e-14,4.836098956509441e-13
local_suppression,retention_target,1125,860,912,0.7644444444444445,0.8106666666666666,0.046222222222222165,0.7387738508326727,0.7883152238559903,0.7867308103913786,0.832488119368916,40,92,6.974666252127686e-06,5.579733001702149e-05
local_suppression,drr_system,1125,984,850,0.8746666666666667,0.7555555555555555,-0.11911111111111117,0.8540350142463082,0.8927483302285537,0.7296007852879491,0.779771009579246,169,35,2.9379743682393778e-22,3.819366678711191e-21
local_suppression,irr_system,975,749,673,0.7682051282051282,0.6902564102564103,-0.07794871794871794,0.7406964222483281,0.7936086945681471,0.6605334763268428,0.7184860233651501,112,36,2.8414892673228005e-10,2.5573403405905206e-09
local_suppression,retention_system,1125,929,963,0.8257777777777778,0.856,0.03022222222222215,0.8025147817119473,0.8468235237448425,0.8342717963934688,0.8753052604563109,34,68,0.000986536808184603,0.005919220849107619
communication_defense,drr_target,1125,722,527,0.6417777777777778,0.46844444444444444,-0.17333333333333334,0.6133206467164214,0.6692699664359878,0.4394421137158512,0.4976615429179386,217,22,1.7451677170755847e-41,2.7922683473209356e-40
communication_defense,irr_target,975,599,531,0.6143589743589744,0.5446153846153846,-0.06974358974358974,0.5834142582108115,0.6444060879652382,0.5132418514562509,0.5756387320294725,78,10,3.33213360770301e-14,3.998560329243612e-13
communication_defense,retention_target,1125,912,905,0.8106666666666666,0.8044444444444444,-0.00622222222222224,0.7867308103913786,0.832488119368916,0.7802478244118369,0.8265690094734304,13,6,0.1670684814453125,0.66827392578125
communication_defense,drr_system,1125,850,843,0.7555555555555555,0.7493333333333333,-0.00622222222222224,0.7296007852879491,0.779771009579246,0.723188266090172,0.7737814329019957,25,18,0.3603776529357674,1.0
communication_defense,irr_system,975,673,670,0.6902564102564103,0.6871794871794872,-0.003076923076923088,0.6605334763268428,0.7184860233651501,0.657390397862668,0.7154994064165164,14,11,0.6900379657745361,1.0
communication_defense,retention_system,1125,963,961,0.856,0.8542222222222222,-0.001777777777777767,0.8342717963934688,0.8753052604563109,0.8323959767241007,0.8736376241613855,5,3,0.7265625,1.0
total_defense,drr_target,1125,949,527,0.8435555555555555,0.46844444444444444,-0.37511111111111106,0.821162374137772,0.8636104909619529,0.4394421137158512,0.4976615429179386,454,32,1.3523842934890308e-96,2.4342917282802553e-95
total_defense,irr_target,975,719,531,0.7374358974358974,0.5446153846153846,-0.19282051282051282,0.7089224652583958,0.7640856974299944,0.5132418514562509,0.5756387320294725,259,71,2.828385949708585e-26,4.242578924562878e-25
total_defense,retention_target,1125,860,905,0.7644444444444445,0.8044444444444444,0.039999999999999925,0.7387738508326727,0.7883152238559903,0.7802478244118369,0.8265690094734304,45,90,0.00013379608491259038,0.0009365725943881327
total_defense,drr_system,1125,984,843,0.8746666666666667,0.7493333333333333,-0.1253333333333334,0.8540350142463082,0.8927483302285537,0.723188266090172,0.7737814329019957,179,38,4.4737352671890677e-23,6.263229374064695e-22
total_defense,irr_system,975,749,670,0.7682051282051282,0.6871794871794872,-0.08102564102564103,0.7406964222483281,0.7936086945681471,0.657390397862668,0.7154994064165164,114,35,5.799424766851348e-11,5.799424766851348e-10
total_defense,retention_system,1125,929,961,0.8257777777777778,0.8542222222222222,0.028444444444444383,0.8025147817119473,0.8468235237448425,0.8323959767241007,0.8736376241613855,37,69,0.002440008379349039,0.012200041896745195
