model_id,benchmark,topology,intervention,temperature,seed,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system
qwen3_8b,MUSE-News,debate,full_inference,0.3,42,0.0,,0.2,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.3,43,0.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.3,44,0.0,,0.6,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.3,45,0.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.3,46,0.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,0.0,,0.2,1.0,,0.2
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,0.0,,0.6,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.7,44,0.0,,0.4,1.0,,0.6
qwen3_8b,MUSE-News,debate,full_inference,0.7,45,0.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,full_inference,0.7,46,0.0,,0.4,1.0,,0.2
qwen3_8b,MUSE-News,debate,target_context_memory,0.3,42,1.0,,0.2,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.3,43,1.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.3,44,1.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.3,45,1.0,,0.6,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.3,46,1.0,,0.4,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.7,42,1.0,,0.4,1.0,,0.2
qwen3_8b,MUSE-News,debate,target_context_memory,0.7,43,1.0,,0.6,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.7,44,1.0,,0.6,1.0,,0.6
qwen3_8b,MUSE-News,debate,target_context_memory,0.7,45,1.0,,0.8,1.0,,0.4
qwen3_8b,MUSE-News,debate,target_context_memory,0.7,46,1.0,,0.4,1.0,,0.2
qwen3_8b,MUSE-News,hierarchical,full_inference,0.3,42,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,full_inference,0.3,43,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,full_inference,0.3,44,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,full_inference,0.3,45,0.0,,0.0,1.0,,0.6
qwen3_8b,MUSE-News,hierarchical,full_inference,0.3,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,full_inference,0.7,42,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,full_inference,0.7,43,0.0,,0.0,1.0,,0.8
qwen3_8b,MUSE-News,hierarchical,full_inference,0.7,44,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,full_inference,0.7,45,0.0,,0.0,1.0,,0.4
qwen3_8b,MUSE-News,hierarchical,full_inference,0.7,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.3,42,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.3,43,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.3,44,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.3,45,0.0,,0.0,1.0,,0.6
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.3,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.7,42,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.7,43,0.0,,0.0,1.0,,0.8
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.7,44,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.7,45,0.0,,0.0,1.0,,0.4
qwen3_8b,MUSE-News,hierarchical,target_context_memory,0.7,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.3,42,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.3,43,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.3,44,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.3,45,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.3,46,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.7,42,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.7,43,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.7,44,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.7,45,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,full_inference,0.7,46,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.3,42,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.3,43,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.3,44,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.3,45,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.3,46,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.7,42,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.7,43,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.7,44,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.7,45,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,independent,target_context_memory,0.7,46,0.0,,0.0,0.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.3,42,0.6,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.3,43,0.6,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.3,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.3,45,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.3,46,0.6,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,42,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,43,0.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,45,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,46,0.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,42,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,43,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,45,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,46,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,42,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,43,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,45,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,46,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,42,0.8,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,43,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,44,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,45,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,42,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,43,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,44,0.2,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,45,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,42,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,43,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,44,1.0,,0.0,1.0,,1.0
