content_f1_threshold,semantic_threshold,metric,n_pairs,communication_delta
0.0,0.1,drr_target,225,-0.0746666666666666
0.0,0.1,irr_target,195,-0.0256410256410256
0.0,0.15,drr_target,225,-0.0879999999999999
0.0,0.15,irr_target,195,-0.0328205128205128
0.0,0.2,drr_target,225,-0.0924444444444444
0.0,0.2,irr_target,195,-0.0461538461538461
0.0,0.25,drr_target,225,-0.0791111111111111
0.0,0.25,irr_target,195,-0.0574358974358974
0.0,0.3,drr_target,225,-0.1004444444444444
0.0,0.3,irr_target,195,-0.0317948717948717
0.0,0.35,drr_target,225,-0.08
0.0,0.35,irr_target,195,-0.0276923076923076
0.0,0.4,drr_target,225,-0.0977777777777777
0.0,0.4,irr_target,195,-0.042051282051282
0.0,0.45,drr_target,225,-0.1155555555555555
0.0,0.45,irr_target,195,-0.0584615384615384
0.0,0.5,drr_target,225,-0.1502222222222222
0.0,0.5,irr_target,195,-0.0533333333333333
0.0,0.55,drr_target,225,-0.1342222222222222
0.0,0.55,irr_target,195,-0.0625641025641025
0.0,0.6,drr_target,225,-0.1386666666666666
0.0,0.6,irr_target,195,-0.0748717948717948
0.05,0.1,drr_target,225,-0.1617777777777777
0.05,0.1,irr_target,195,-0.041025641025641
0.05,0.15,drr_target,225,-0.176
0.05,0.15,irr_target,195,-0.0471794871794871
0.05,0.2,drr_target,225,-0.1813333333333333
0.05,0.2,irr_target,195,-0.0553846153846153
0.05,0.25,drr_target,225,-0.1644444444444444
0.05,0.25,irr_target,195,-0.0676923076923076
0.05,0.3,drr_target,225,-0.1777777777777777
0.05,0.3,irr_target,195,-0.042051282051282
0.05,0.35,drr_target,225,-0.1546666666666666
0.05,0.35,irr_target,195,-0.041025641025641
0.05,0.4,drr_target,225,-0.1537777777777778
0.05,0.4,irr_target,195,-0.0553846153846153
0.05,0.45,drr_target,225,-0.1386666666666667
0.05,0.45,irr_target,195,-0.0605128205128205
0.05,0.5,drr_target,225,-0.1493333333333333
0.05,0.5,irr_target,195,-0.0533333333333333
0.05,0.55,drr_target,225,-0.1244444444444444
0.05,0.55,irr_target,195,-0.0625641025641025
0.05,0.6,drr_target,225,-0.1235555555555555
0.05,0.6,irr_target,195,-0.0748717948717948
0.1,0.1,drr_target,225,-0.1875555555555555
0.1,0.1,irr_target,195,-0.0543589743589743
0.1,0.15,drr_target,225,-0.2
0.1,0.15,irr_target,195,-0.0584615384615384
0.1,0.2,drr_target,225,-0.1982222222222222
0.1,0.2,irr_target,195,-0.0646153846153846
0.1,0.25,drr_target,225,-0.1813333333333333
0.1,0.25,irr_target,195,-0.0779487179487179
0.1,0.3,drr_target,225,-0.1911111111111111
0.1,0.3,irr_target,195,-0.0492307692307692
0.1,0.35,drr_target,225,-0.1697777777777777
0.1,0.35,irr_target,195,-0.0512820512820512
0.1,0.4,drr_target,225,-0.1662222222222222
0.1,0.4,irr_target,195,-0.0656410256410256
0.1,0.45,drr_target,225,-0.1511111111111111
0.1,0.45,irr_target,195,-0.0676923076923076
0.1,0.5,drr_target,225,-0.1608888888888889
0.1,0.5,irr_target,195,-0.0594871794871794
0.1,0.55,drr_target,225,-0.1315555555555555
0.1,0.55,irr_target,195,-0.0666666666666666
0.1,0.6,drr_target,225,-0.1262222222222222
0.1,0.6,irr_target,195,-0.0758974358974359
0.15,0.1,drr_target,225,-0.1982222222222222
0.15,0.1,irr_target,195,-0.0646153846153846
0.15,0.15,drr_target,225,-0.2115555555555555
0.15,0.15,irr_target,195,-0.0707692307692307
0.15,0.2,drr_target,225,-0.2097777777777777
