run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,runtime_seconds_log,n_log_occurrences,runtime_seconds,runtime_source,runtime_raw_fallback,model_params_b,seconds_per_probe,aggregate_run_hours
AU000001,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,117.2,1,117.2,runner_DONE_log,117.23587965965271,4.0,7.8133333333333335,0.03255555555555556
AU000002,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,global_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,0.2,0.2,1.0,15,133.6,1,133.6,runner_DONE_log,133.64408087730408,4.0,8.906666666666666,0.03711111111111111
AU000003,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,target_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,0.2,0.2,1.0,15,121.8,1,121.8,runner_DONE_log,121.80360651016235,4.0,8.12,0.03383333333333333
AU000004,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,177.5,2,177.5,runner_DONE_log,177.5105791091919,4.0,11.833333333333334,0.049305555555555554
AU000005,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,177.0,2,177.0,runner_DONE_log,176.99607491493225,4.0,11.8,0.049166666666666664
AU000006,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,0.8,0.6,1.0,0.0,0.4,1.0,15,181.6,2,181.6,runner_DONE_log,181.63554525375366,4.0,12.106666666666666,0.050444444444444445
AU000007,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,0.2,0.2,1.0,15,181.7,2,181.7,runner_DONE_log,181.67890119552612,4.0,12.113333333333333,0.05047222222222222
AU000008,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,178.0,2,178.0,runner_DONE_log,178.0083348751068,4.0,11.866666666666667,0.049444444444444444
AU000009,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.8,0.6,1.0,0.0,0.4,1.0,15,182.4,2,182.4,runner_DONE_log,182.354177236557,4.0,12.16,0.050666666666666665
AU000010,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,208.8,2,208.8,runner_DONE_log,208.7568085193634,4.0,13.92,0.058
AU000011,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,global_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.2,1.0,0.6,0.0,1.0,15,207.7,2,207.7,runner_DONE_log,207.7093949317932,4.0,13.846666666666666,0.057694444444444444
AU000012,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,203.4,2,203.4,runner_DONE_log,203.3760540485382,4.0,13.56,0.0565
AU000013,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,211.6,2,211.6,runner_DONE_log,211.64789962768555,4.0,14.106666666666666,0.058777777777777776
AU000014,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,200.0,2,200.0,runner_DONE_log,199.9515266418457,4.0,13.333333333333334,0.05555555555555555
AU000015,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,202.9,2,202.9,runner_DONE_log,202.85284662246704,4.0,13.526666666666667,0.05636111111111111
AU000016,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,1.0,1.0,1.0,15,219.4,2,219.4,runner_DONE_log,219.42710494995117,4.0,14.626666666666667,0.06094444444444445
AU000017,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,202.4,2,202.4,runner_DONE_log,202.44724988937378,4.0,13.493333333333334,0.05622222222222222
AU000018,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,sequential,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.8,1.0,1.0,1.0,1.0,15,231.9,2,231.9,runner_DONE_log,231.942302942276,4.0,15.46,0.06441666666666666
