block,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
ablation_chain_length,30,1.0465,125.58,60.85,310.47,338.4499999999999,9.184666666666667,4.996666666666667
ablation_comm_threshold,60,4.627555555555555,277.65333333333336,193.2,501.53000000000003,559.42,20.28788888888889,16.115
ablation_debate_rounds,30,3.3761666666666668,405.14000000000004,308.25,829.57,899.4549999999999,29.839111111111112,20.549999999999997
ablation_n_agents,90,5.911444444444444,236.45777777777778,134.9,806.8800000000001,1022.24,17.277555555555555,9.356666666666667
ablation_peer_evidence,90,5.9319444444444445,237.27777777777777,185.89999999999998,455.85,490.945,17.417185185185186,13.113333333333333
ablation_target_position,30,1.1749166666666666,140.98999999999998,137.1,178.18,187.25,10.318444444444445,10.896666666666665
coder_scale,405,20.46125,181.87777777777777,111.7,401.1400000000001,473.94,13.14641975308642,8.06
large_scale,225,9.051444444444444,144.8231111111111,96.0,319.62,378.4,10.544,6.4
main,2025,120.32394444444445,213.90923456790125,141.3,529.48,593.86,15.490123456790123,9.613333333333333
parameter_unlearning,200,12.751388888888888,229.525,164.55,518.29,600.2749999999997,16.814,12.11
stochastic_robustness,500,30.057166666666667,216.4116,155.95,486.26000000000005,523.555,15.924253333333334,12.003333333333334
wmdp_appendix,36,1.3515277777777779,135.15277777777777,89.30000000000001,289.85,352.7,27.030555555555555,17.86
