intervention,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
communication,225,13.812083333333334,220.99333333333334,150.6,546.42,613.1199999999999,16.008385185185187,10.306666666666667
full_inference,832,47.405166666666666,205.11850961538462,142.25,477.6699999999999,541.55,15.229234775641025,10.326666666666666
global_context,225,12.095305555555555,193.52488888888888,126.3,453.9599999999999,532.2799999999999,14.069807407407406,8.42
none,447,24.081444444444443,193.94451901565995,134.8,446.42000000000036,539.98,14.519246830723342,9.593333333333334
parameter_only,100,6.374305555555556,229.475,163.7,518.2900000000001,590.5849999999999,16.800066666666666,12.280000000000001
parameter_plus_comm,100,6.377083333333333,229.575,165.2,507.5000000000002,600.42,16.827933333333334,11.906666666666666
target_context,225,13.697166666666666,219.15466666666669,140.4,550.7599999999999,609.5399999999997,15.897377777777777,9.7
target_context_comm,285,18.46086111111111,233.18982456140353,152.3,542.8999999999999,600.82,16.896795321637427,10.473333333333333
target_context_memory,832,47.07830555555556,203.70420673076922,141.5,473.96999999999997,538.835,15.072399839743591,10.529999999999998
target_memory,225,13.306472222222222,212.90355555555556,143.6,519.5,556.0999999999999,15.467244444444445,9.7
target_memory_comm,225,13.377055555555556,214.0328888888889,141.4,527.1199999999999,583.5,15.45871111111111,9.773333333333333
