model_id,topology,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
mistral_7b,debate,141,21.15875,540.2234042553191,544.0,674.1,743.7,39.963144208037825,38.233333333333334
mistral_7b,hierarchical,135,5.114277777777778,136.38074074074075,124.5,201.20000000000005,212.66,9.890296296296297,8.3
mistral_7b,independent,141,4.750944444444444,121.30070921985816,110.6,185.6,202.8,9.264775413711583,7.473333333333333
mistral_7b,scratchpad,141,5.725194444444444,146.17517730496454,138.6,213.4,234.9,10.956572104018914,9.333333333333334
mistral_7b,sequential,135,5.289583333333334,141.05555555555554,131.2,201.16000000000003,208.31,10.169333333333332,8.8
qwen25coder_14b,debate,45,3.9784722222222224,318.27777777777777,300.1,440.66,520.2799999999997,23.275037037037034,20.006666666666668
qwen25coder_14b,independent,45,1.16225,92.98,81.2,142.42,164.33999999999995,6.860370370370371,5.413333333333333
qwen25coder_14b,scratchpad,45,1.4411111111111112,115.28888888888889,101.5,175.46,210.2799999999999,8.498740740740741,6.766666666666667
qwen25coder_1p5b,debate,45,5.365444444444445,429.23555555555555,445.1,550.78,585.2199999999999,30.256592592592593,31.01
qwen25coder_1p5b,independent,45,0.9571111111111111,76.56888888888889,69.4,113.72,121.61999999999999,5.585703703703704,4.626666666666667
qwen25coder_1p5b,scratchpad,45,1.1550833333333332,92.40666666666667,87.3,136.07999999999998,158.83999999999992,6.645851851851852,5.819999999999999
qwen25coder_7b,debate,45,3.934083333333333,314.7266666666667,300.0,423.58,487.6599999999999,22.780740740740743,20.0
qwen25coder_7b,independent,45,1.0974444444444444,87.79555555555557,77.5,138.54000000000002,145.84,6.4239999999999995,5.166666666666667
qwen25coder_7b,scratchpad,45,1.37025,109.61999999999999,102.0,166.24,175.47999999999996,7.9907407407407405,6.8
qwen3_14b,debate,45,4.2307500000000005,338.46000000000004,320.3,471.64,476.88,24.479777777777777,21.353333333333335
qwen3_14b,hierarchical,45,1.117,89.36,83.2,134.16,142.7,6.53962962962963,5.546666666666667
qwen3_14b,independent,45,1.112,88.96,82.1,134.36,141.5,6.5326666666666675,5.473333333333333
qwen3_14b,scratchpad,45,1.3156666666666668,105.25333333333333,89.5,169.62,183.79999999999998,7.75525925925926,5.966666666666667
qwen3_14b,sequential,45,1.2760277777777778,102.08222222222221,96.3,151.60000000000002,156.9,7.4126666666666665,6.42
qwen3_4b,debate,155,23.49313888888889,545.6470967741935,531.4,747.36,796.8099999999987,40.012795698924734,35.693333333333335
qwen3_4b,hierarchical,155,5.752527777777778,133.60709677419354,131.2,189.87999999999997,230.13999999999987,9.787311827956989,8.966666666666667
qwen3_4b,independent,155,5.443583333333334,126.43161290322581,113.5,178.06,237.9999999999989,9.445698924731182,7.566666666666666
qwen3_4b,scratchpad,155,6.22575,144.59806451612903,133.5,220.79999999999998,257.52,10.656623655913979,9.053333333333335
qwen3_4b,sequential,155,5.620416666666666,130.53870967741935,118.4,208.35999999999999,236.01999999999998,9.593892473118279,7.8933333333333335
qwen3_8b,debate,371,48.20169444444444,467.72533692722374,480.1,610.7,804.0,34.721895777178794,32.78
qwen3_8b,hierarchical,255,9.242333333333333,130.48000000000002,132.3,163.56,165.70999999999998,9.49921568627451,9.053333333333335
qwen3_8b,independent,261,8.861,122.22068965517241,123.8,163.0,166.5,9.094584929757342,9.073333333333332
qwen3_8b,scratchpad,341,17.30247222222222,182.66539589442814,170.5,279.5,292.5,13.29256109481916,12.666666666666666
qwen3_8b,sequential,395,14.370888888888889,130.97518987341772,132.8,182.28000000000003,196.39,9.516523206751055,9.186666666666667
