topology,intervention,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
debate,communication,45,6.803888888888888,544.3111111111111,547.9,672.22,722.84,39.28325925925926,37.06666666666667
debate,full_inference,204,24.820972222222224,438.0171568627451,448.1,593.48,798.7499999999999,32.712712418300654,31.473333333333333
debate,global_context,45,5.95,476.0,460.0,600.3000000000001,696.44,34.348,31.42
debate,none,109,12.745055555555556,420.9376146788991,405.7,596.86,644.2199999999999,31.64073394495413,29.173333333333336
debate,parameter_only,20,2.915722222222222,524.83,519.45,668.61,685.28,38.56816666666667,37.306666666666665
debate,parameter_plus_comm,20,2.902527777777778,522.455,517.5,663.5,675.0950000000001,38.528166666666664,37.089999999999996
debate,target_context,45,6.9075,552.6,558.0,716.1600000000001,797.3999999999997,39.93674074074074,37.7
debate,target_context_comm,65,9.642472222222223,534.0446153846154,529.3,679.62,738.9999999999999,38.59441025641026,37.32
debate,target_context_memory,204,24.566027777777776,433.51813725490194,443.55,594.5600000000001,782.15,32.21464052287582,30.80333333333333
debate,target_memory,45,6.490861111111111,519.2688888888889,522.7,686.96,740.34,37.555925925925926,35.22
debate,target_memory_comm,45,6.617305555555555,529.3844444444444,531.4,654.4000000000001,733.0399999999998,37.979925925925926,35.75333333333333
hierarchical,communication,45,1.7117222222222221,136.93777777777777,131.2,183.10000000000002,216.69999999999993,9.911111111111111,9.293333333333333
hierarchical,full_inference,110,3.8720555555555554,126.72181818181818,124.35,163.10999999999999,174.86499999999998,9.26639393939394,8.573333333333334
hierarchical,global_context,45,1.480361111111111,118.42888888888889,106.9,180.90000000000003,196.67999999999998,8.678222222222221,7.126666666666667
hierarchical,none,60,2.089888888888889,125.39333333333333,118.0,176.46,193.45999999999992,9.090666666666666,8.046666666666667
hierarchical,parameter_only,20,0.8200555555555555,147.60999999999999,151.64999999999998,184.45000000000002,186.33500000000004,10.799166666666666,10.823333333333334
hierarchical,parameter_plus_comm,20,0.75875,136.575,137.75,184.97,186.93,9.845333333333333,10.11
hierarchical,target_context,45,1.6457222222222223,131.6577777777778,126.7,180.5,201.88,9.546,8.56
hierarchical,target_context_comm,45,1.6848333333333334,134.78666666666666,131.9,193.18000000000004,205.04,9.821925925925926,8.793333333333333
hierarchical,target_context_memory,110,3.874111111111111,126.7890909090909,129.15,164.12,176.59499999999997,9.296939393939393,8.83
hierarchical,target_memory,45,1.6683611111111112,133.4688888888889,125.2,184.32,196.72,9.725111111111111,8.346666666666668
hierarchical,target_memory_comm,45,1.6202777777777777,129.62222222222223,125.7,177.20000000000002,191.43999999999997,9.39562962962963,8.886666666666667
independent,communication,45,1.5867499999999999,126.94,117.0,179.28,184.06,9.277703703703704,7.86
independent,full_inference,159,4.745472222222222,107.44465408805031,105.5,159.38000000000002,166.19,8.084570230607968,7.12
independent,global_context,45,1.4095555555555555,112.76444444444444,101.0,161.12,208.83999999999992,8.309111111111111,6.733333333333333
independent,none,109,3.21275,106.10917431192661,96.0,160.66,170.06,8.180489296636086,6.6066666666666665
independent,parameter_only,20,0.796611111111111,143.39,153.1,178.51,183.3,10.651833333333332,10.516666666666666
independent,parameter_plus_comm,20,0.8121388888888889,146.185,157.10000000000002,179.73000000000002,183.00000000000003,10.843333333333334,10.693333333333335
independent,target_context,45,1.5113611111111112,120.90888888888888,108.7,162.4,185.6599999999999,8.842444444444444,7.866666666666666
independent,target_context_comm,45,1.5320277777777778,122.56222222222223,109.0,162.70000000000002,190.73999999999995,8.968666666666666,7.293333333333334
independent,target_context_memory,159,4.727194444444445,107.0308176100629,103.0,158.24,167.22,8.055094339622642,7.1066666666666665
independent,target_memory,45,1.5452222222222223,123.61777777777777,110.6,171.14000000000001,199.39999999999992,9.113555555555555,7.373333333333333
independent,target_memory_comm,45,1.50525,120.41999999999999,108.6,161.16,178.48,8.809481481481482,7.413333333333333
scratchpad,communication,45,1.9553888888888888,156.4311111111111,149.3,220.08,257.08,11.358296296296297,10.32
