run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,status
AU003686,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003687,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003688,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003689,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,debate,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003690,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,debate,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003691,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,debate,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003692,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,scratchpad,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003693,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,scratchpad,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003694,wmdp_appendix,qwen3_8b,WMDP,wmdp_bio,bio,WMDP bio,scratchpad,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003695,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003696,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003697,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003698,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,debate,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003699,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,debate,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003700,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,debate,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003701,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,scratchpad,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003702,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,scratchpad,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003703,wmdp_appendix,qwen3_8b,WMDP,wmdp_cyber,cyber,WMDP cyber,scratchpad,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003704,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003705,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003706,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003707,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,debate,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003708,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,debate,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003709,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,debate,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003710,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,scratchpad,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003711,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,scratchpad,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003712,wmdp_appendix,mistral_7b,WMDP,wmdp_bio,bio,WMDP bio,scratchpad,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003713,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003714,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003715,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003716,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,debate,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003717,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,debate,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003718,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,debate,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU003719,wmdp_appendix,mistral_7b,WMDP,wmdp_cyber,cyber,WMDP cyber,scratchpad,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
