benchmark,field,occurrences
TOFU,source,8000
TOFU,original_split,8000
TOFU,question,8000
TOFU,answer,8000
TOFU,text_lm,8000
TOFU,raw,4000
MUSE-News,value,7509
MUSE-News,question,220
MUSE-News,answer,220
MUSE-News,target_statistics,200
MUSE-News,retrain_statistics,100
MUSE-News,_parquet_error,26
MUSE-News,text,20
MUSE-Books,_parquet_error,18
RWKU,subject,1919586
RWKU,intro,1637200
RWKU,id,1396800
RWKU,text,984166
RWKU,prompt,465600
RWKU,response,465600
RWKU,instruction,260000
RWKU,input,240000
RWKU,output,240000
RWKU,question,160800
RWKU,answer,149820
RWKU,task,100800
RWKU,choices,68400
RWKU,examples,68400
RWKU,query,49020
RWKU,level,49020
RWKU,type,49020
RWKU,answers,40000
RWKU,cot,32400
RWKU,ngram,27370
RWKU,neighbor,22758
RWKU,mc1_targets,20000
RWKU,mc2_targets,20000
RWKU,target,400
WMDP,value,1
WMDP,_container,1
WMDP,builder_name,1
WMDP,citation,1
WMDP,config_name,1
WMDP,dataset_name,1
WMDP,dataset_size,1
WMDP,description,1
WMDP,download_size,1
WMDP,features,1
WMDP,homepage,1
WMDP,license,1
WMDP,size_in_bytes,1
WMDP,splits,1
WMDP,version,1
WMDP,filename,1
