benchmark,target_id,target_name,forget_items,retain_items,evaluation_items,unspecified_items,probe_types
RWKU,101,John Cena,4953,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,84,Nicolas Cage,4770,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,57,Whitney Houston,4945,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,56,Mark Harmon,4736,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,117,Elon Musk,4882,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,199,Courtney Love,4785,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,14,Taylor Swift,4850,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,33,Paul Walker,4754,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,109,Ulysses S. Grant,4952,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,153,Sofía Vergara,4715,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,98,Dwayne Johnson,4885,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,44,"Meghan, Duchess of Sussex",4857,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,12,Genghis Khan,4761,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,197,Jeff Goldblum,4752,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,169,Jeff Bridges,4774,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
RWKU,187,Marie Antoinette,4786,0,0,0,fluency|forget_level1|forget_level2|forget_level3|forget_mia|intro|negative|negative_phi|neighbor_level1|neighbor_level2|pair|pair_phi|passage|positive|positive_phi|reject|reject_phi|retain_bbh|retain_mia|retain_mmlu|triviaqa|truthful
