run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,status
AU001351,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001352,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,global_context,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001353,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,target_context,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001354,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001355,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,communication,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001356,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001359,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001360,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,sequential,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001362,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001363,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,sequential,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001365,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001369,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,debate,none,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001370,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,debate,global_context,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001372,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,debate,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001375,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,debate,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,pending
AU001376,main,mistral_7b,TOFU,tofu_forget01,forget01,forget01,debate,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,pending
